510402808117410; TELOL; TELOL; NOT FOUND; 100 MG COM CT 3 BL AL PLAS INC X 10; GOB
510402806114414; TELOL; TELOL; NOT FOUND; 100 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP) ; GOB
510402802119411; TELOL; TELOL; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 14 ; GOB
510402807110412; TELOL; TELOL; NOT FOUND; 25 MG COM CT 3 BL AL PLAS INC X 10; GOB
510402804111418; TELOL; TELOL; NOT FOUND; 25 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP); GOB
510402803115411; TELOL; TELOL; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14 ; GOB
510402809113419; TELOL; TELOL; NOT FOUND; 50 MG COM CT 3 BL AL PLAS INC X 10; GOB
510402805118416; TELOL; TELOL; NOT FOUND; 50 MG COM CT 30 BL AL PLAS INC X 14 (EMB HOSP); GOB
510412060076204; TELOL C; TELOL C; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS INC X 15 ; GOB
510412070077204; TELOL C; TELOL C; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS INC X 15; GOB
510412060075904; TELOL C; TELOL C; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS INC X 30; GOB
510412070077304; TELOL C; TELOL C; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS INC X 30; GOB
510412060076104; TELOL C; TELOL C; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS INC X 450 (EMB HOSP); GOB
510412070077104; TELOL C; TELOL C; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS INC X 450 (EMB HOSP); GOB
510412060076004; TELOL C; TELOL C; NOT FOUND; 50 MG + 12.5 MG COM CT BL PLAS INC X 60; GOB
510412070077404; TELOL C; TELOL C; NOT FOUND; 100 MG + 25 MG COM CT BL PLAS INC X 60; GOB
510406202116414; TYLALGIN CAF; TYLALGIN CAF; NOT FOUND; 500 + 65 MG COM REV CT BL AL PLAS INC X 100; GOB
510406201111419; TYLALGIN CAF; TYLALGIN CAF; NOT FOUND; 500 + 65 MG COM REV CT BL AL PLAS INC X 12; GOB
510406203112412; TYLALGIN CAF; TYLALGIN CAF; NOT FOUND; 500 + 65 MG COM REV CT BL AL PLAS INC X 20; GOB
510413010081606; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 10 ML; GOB
510413010081706; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 4 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 10 ML; GOB
510413010081406; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML; GOB
510413010081506; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 4 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML (EMB HOSP); GOB
510412050071304; TASULIL; TASULIL; NOT FOUND; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 100 (EMB HOSP); GOB
510412050071104; TASULIL; TASULIL; NOT FOUND; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 20; GOB
510412050071204; TASULIL; TASULIL; NOT FOUND; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 30; GOB
510412050071404; TASULIL; TASULIL; NOT FOUND; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 500 (EMB HOSP); GOB
510403002116416; TRAXONOL; TRAXONOL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; GOB
510403001111410; TRAXONOL; TRAXONOL; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 04; GOB
510414050106313; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CT BG AL X 50 G + 10 APLIC; GOB
510414050106413; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CX 60 BG AL X 50 G (EMB HOSP) + 600 APLIC; GOB
510414060106503; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CX 50 BG AL X 50 G (EMB HOSP) + 500 APLIC; GOB
510404802175415; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CT BG AL X 50 G; GOB
510404804161411; TRINODAZOL; TRINODAZOL; NOT FOUND; 100 MG/G GELEIA CX 60 BG AL X 50 G (EMB HOSP); GOB
510410301166418; TRINODAZOL NISTATINA; TRINODAZOL NISTATINA; NOT FOUND; 100MG/G + 20.000UI/G CREM VAG CT BG AL X 50G + 10 APLIC DESC ; GOB
510410901163118; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC ; GOB
510403113139414; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 10 SACH AL PE X 5 G; GOB
510403112132416; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 100 SACH AL PE X 5 G (EMB MULT); GOB
510403111136418; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 2 SACH AL PE X 5 G; GOB
510403114135412; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 200 SACH AL PE X 5 G (EMB MULT); GOB
510403110131412; TYLALGIN; TYLALGIN; NOT FOUND; 100 MG/G PO PREP EXT CT 50 SACH AL PE X 5 G (EMB MULT); GOB
510403103133413; TYLALGIN; TYLALGIN; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPACO X 15 ML; GOB
510403109131412; TYLALGIN; TYLALGIN; NOT FOUND; 200 MG/ML SOL OR CT 60 FR PLAS OPC X 15 ML (EMB HOSP); GOB
510403102137415; TYLALGIN; TYLALGIN; NOT FOUND; 160 MG/5ML SUS OR CT FR PET X 60 ML + COPO-MEDIDA; GOB
510403108135414; TYLALGIN; TYLALGIN; NOT FOUND; 160 MG / 5 ML SUS OR CT 60 FR PET INC X 60 ML + COPO-MEDIDA (EMB HOSP); GOB
510403104113416; TYLALGIN; TYLALGIN; NOT FOUND; 500 MG COM CT CX 50 BL AL PLAS INC X 4 ( EMB HOSP); GOB
510403106116420; TYLALGIN; TYLALGIN; NOT FOUND; 750 MG COM CT BL AL PLAS AMB X 20; GOB
510403101114411; TYLALGIN; TYLALGIN; NOT FOUND; 750 MG COM CT CX 50 BL AL PLAS AMB X 4 (EMB HOSP); GOB
