1046503210017; FLUXON; FLUXON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; N_Q
1046503210025; FLUXON; FLUXON; NOT FOUND; 75 MG COM CT  BL AL PLAS INC X 30; N_Q
1046504930021; FONERGORAL; FONERGORAL; NOT FOUND; 1.5 MG COLUT CT ENV FR VD INC X 150 ML; N_Q
1046504930048; FONERGORAL; FONERGORAL; NOT FOUND; 3 MG PAST CT 3 ENV AL X 4 (SABOR LIMAO); N_Q
1046504930031; FONERGORAL; FONERGORAL; NOT FOUND; 3 MG PAST CT 3 ENV AL X 4 (SABOR LARANJA); N_Q
1046502670014; FENATIL; FENATIL; NOT FOUND; 10 MG DRG CT 2 BL AL PLAS INC X 10; N_Q
1046502670022; FENATIL; FENATIL; NOT FOUND; 25 MG DRG CT BL AL PLAS INC X 20; N_Q
1046502670049; FENATIL; FENATIL; NOT FOUND; 25 MG DRG CT BL AL PLAS INC X 500 (EMB HOSP); N_Q
1046504740028; FLUCCIL; FLUCCIL; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; N_Q
1046502320021; FLAZAL; FLAZAL; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 10; N_Q
1046502320013; FLAZAL; FLAZAL; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; N_Q
1046502540021; FLAVONID; FLAVONID; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 30; N_Q
1046502540031; FLAVONID; FLAVONID; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 500 (EMB HOSP); N_Q
1046502540013; FLAVONID; FLAVONID; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60; N_Q
1046502460011; FAMOTID; FAMOTID; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; N_Q
1046502460036; FAMOTID; FAMOTID; NOT FOUND; 450MG + 50MG COM REV CT 6 BL AL PLAS INC X 10; N_Q
1046504250012; FENOBARBITAL; FENOBARBITAL; FENOBARBITAL; 100 MG COM CT BL AL PLAS INC X 20; N_Q
1046501500026; FINASTEC; FINASTEC; NOT FOUND; 5 MG COM CT BL AL PLAS INC  X 30; N_Q
1046501660082; FLUCONEO; FLUCONEO; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; N_Q
1046501660074; FLUCONEO; FLUCONEO; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 10; N_Q
1046501660066; FLUCONEO; FLUCONEO; NOT FOUND; 150 MG CAP GEL DURA CX BL AL PLAS INC X 500 (EMB HOSP); N_Q
1046504270013; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1 ; N_Q
1046504270021; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; N_Q
1046505140075; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; N_Q
1046505010015; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.345 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; N_Q
1046503180010; FUNGIMAX; FUNGIMAX; NOT FOUND; CR VAG (BG PL C/40GR); N_Q
1046501920033; FLOXICAM; FLOXICAM; NOT FOUND; 10 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; N_Q
1046501920017; FLOXICAM; FLOXICAM; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 15; N_Q
1046501920025; FLOXICAM; FLOXICAM; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15; N_Q
1046502660027; FLOMICIN; FLOMICIN; NOT FOUND; 200 MG PO LIOF CT ENV AL POLIET X 1 G; N_Q
