1046504180030; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; N_Q
1046504180014; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; N_Q
1046503010018; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; N_Q
1046503870017; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200MG COM CT BL AL PLAS INC X 25 ; N_Q
1046503870033; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200MG COM CT BL AL PLAS INC X 200; N_Q
1046502610011; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; SUS 400MG (VD AMB C/10ML); N_Q
1046503800019; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400MG COMP DISPLAY 25 BL AL PLAS INC X 1; N_Q
1046503800027; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST DISPLAY  BL AL PLAS INC X 1  ; N_Q
1046501240032; ASMAPEN; ASMAPEN; NOT FOUND; INJ (CX C/50 AMP C/10ML); N_Q
1046501240016; ASMAPEN; ASMAPEN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; N_Q
1046501240067; ASMAPEN; ASMAPEN; NOT FOUND; 200 MG COM CT 2 BL AL PLAS INC X 10; N_Q
1046501240040; ASMAPEN; ASMAPEN; NOT FOUND; 100 MG COM CX 25 BL AL PLAS INC X 20 (EMB. HOSP.); N_Q
1046504530015; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PLAS INC X 20; N_Q
1046503830015; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO SUS OR CT FR VD AMB X 150 ML + CP MED X 10 ML; N_Q
1046503830023; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50MG/ML PO SUS OR CX 50FR VD AMB X 150ML + 50 CP MED X 10 ML; N_Q
1046503860011; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PVC INC X 15; N_Q
1046503860021; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PVC INC X 21; N_Q
1046503860038; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPS CX. C/ 3 BL X 10; N_Q
1046503860046; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAPS CX. C/ 30 BL X 7; N_Q
1046503520040; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED X 5 ML; N_Q
1046503520024; AMPICILINA; AMPICILINA; AMPICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + CP MED X 5 ML; N_Q
1046501270012; ATENEO; ATENEO; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 28; N_Q
1046501270020; ATENEO; ATENEO; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; N_Q
1046504190052; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; N_Q
1046504190028; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; N_Q
1046505020045; ATENEUM; ATENEUM; NOT FOUND; 25MG COM CT BL AL PLAS INC X 30; N_Q
1046505020037; ATENEUM; ATENEUM; NOT FOUND; 100MG COM CT BL AL PLAS INC X 30; N_Q
1046505020029; ATENEUM; ATENEUM; NOT FOUND; 50MG COM CT BL AL PLAS INC X 30; N_Q
1046501590017; ATENORIC; ATENORIC; NOT FOUND; 100 MG + 25 MG COM CT 2 BL AL PLAS AMB X 14; N_Q
1046504290014; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR VD AMB X 15 ML + DIL FR PLAS X 11.5 ML + SER DOSAD ; N_Q
1046504290030; AZITROMICINA; AZITROMICINA; AZITROMICINA; 40 MG/ML PO SUS OR CT FR VD AMB X 22.5 ML + DIL FR PLAS X 17 ML + SER DOSAD ; N_Q
1046504300011; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2 ; N_Q
1046504300028; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; N_Q
1046504510030; ALERGIDEX; ALERGIDEX; NOT FOUND; 0.4 MG/ ML + 0.05 MG / ML XPE CT FR PET AMB X 120ML + CP MED; N_Q
1046502560030; ASSEPTCARE; ASSEPTCARE; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC X 30 ML + APLICADOR; N_Q
1046502560022; ASSEPTCARE; ASSEPTCARE; NOT FOUND; 10 MG/ML SOL TOP INCOLOR SPRAY CT FR PLAS OPC X 50 ML; N_Q
1046501430011; AMILORID; AMILORID; NOT FOUND; 5 MG + 50 MG COM CT  BL AL PLAS AMB X 30; N_Q
1046502910031; ANOXOLAN; ANOXOLAN; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 20; N_Q
1046502910023; ANOXOLAN; ANOXOLAN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20; N_Q
1046502480010; ANGIOLOT; ANGIOLOT; NOT FOUND; 15 MG + 90 MG DRG CT 2 BL AL PLAS INC X 10; N_Q
1046500330018; ALGI ITAMANIL; ALGI ITAMANIL; NOT FOUND; CP (CX C/1 BL C/12); N_Q
