1046501560010; DIGESPRID; DIGESPRID; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; N_Q
1046501560045; DIGESPRID; DIGESPRID; NOT FOUND; 4 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML  (EMB HOSP); N_Q
1046501560088; DIGESPRID; DIGESPRID; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC  X 20; N_Q
1046501560101; DIGESPRID; DIGESPRID; NOT FOUND; 10 MG CAP GEL DURA CX 50 BL AL PLAS INC X 10 (EMB HOSP); N_Q
1046505130010; DIPIRONA SÓDICA+ CAFEÍNA; DIPIRONA SODICA CAFEINA; NOT FOUND; 500 MG + 65MG COM CT BL AL PLAS AMB X 16; N_Q
1046505130037; DIPIRONA SÓDICA+ CAFEÍNA; DIPIRONA SODICA CAFEINA; NOT FOUND; 500 MG + 65MG COM DISP BL AL PLAS AMB X 100; N_Q
1046501950021; DORALGINA; DORALGINA; NOT FOUND; 380 MG/ML SOL OR CT FR VD AMB X 15 ML ; N_Q
1046501950040; DORALGINA; DORALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG DISP BL AL PLAS INC X 100 (EMB MULT); N_Q
1046501950013; DORALGINA; DORALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS INC X 20 ; N_Q
1046501150017; DORCAÍNA; DORCAINA; NOT FOUND; 5 MG/ML SOL INJ CT 6 FA VD INC  X 20 ML; N_Q
1046501030021; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; N_Q
1046501030011; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 120 ML + 50 CP MED; N_Q
1046504720019; DIENZEPAX; DIENZEPAX; NOT FOUND; 5MG COM CT BL AL PLAS INC X 20; N_Q
1046504720061; DIENZEPAX; DIENZEPAX; NOT FOUND; 10MG COM CT BL AL PLAS INC X 20; N_Q
1046505100022; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 30; N_Q
1046505100154; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; N_Q
1046505100162; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 30; N_Q
1046505100014; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 20; N_Q
1046503700014; DICLOFENACO DIETILAMÔNICO; DICLOFENACO DIETILAMONICO; NOT FOUND; 11.60 MG/G GEL CREM CT BG AL X 60 G; N_Q
1046502700010; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; N_Q
1046504680017; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; N_Q
1046504150018; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 25; N_Q
1046504350017; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML ; N_Q
1046502620017; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; INJ 500MG/ML (CX C/50 AMP C/2ML); N_Q
1046502630012; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; GTS 500MG/ML (FRPL C/10ML); N_Q
1046502630047; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; N_Q
1046503720031; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 1G COM CT BL AL PLAS INC X 10; N_Q
1046503720058; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 1G COM DISP BL AL PLAS INC X 100; N_Q
1046503720023; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; CP 500MG DISPLAY (C/25 BL C/4); N_Q
1046500160061; DUCTOPAN; DUCTOPAN; NOT FOUND; GTS (FRPL C/15ML); N_Q
1046500160086; DUCTOPAN; DUCTOPAN; NOT FOUND; CP (CX C/2 BL C/10); N_Q
1046504030012; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 1.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED X 10 ML ; N_Q
1046504030047; DROPROPIZINA; DROPROPIZINA; DROPROPIZINA; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED X 10 ML; N_Q
1046504880016; DEXANIL; DEXANIL; NOT FOUND; 4.0 MG/ML SOL INJ CT FR AMP VD INC X 2.5 ML; N_Q
1046504880040; DEXANIL; DEXANIL; NOT FOUND; 2 MG/ML SOL INJ CT 2 AMP VD INC X 1 ML; N_Q
1046504880032; DEXANIL; DEXANIL; NOT FOUND; 2 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML (EMB HOSP); N_Q
1046504880024; DEXANIL; DEXANIL; NOT FOUND; 4.0 MG/ML SOL INJ CT 50 FR AMP VD INC 2.5 ML (EMB HOSP); N_Q
1046503140078; DUOPRIL; DUOPRIL; NOT FOUND; CP 10/25MG (CX C/2 BL C/15); N_Q
