1046504050013; GERIVIX; GERIVIX; NOT FOUND; COM REV CT BL AL PLAS INC X 30; N_Q
1046504050021; GERIVIX; GERIVIX; NOT FOUND; DRG CT 5 BL AL PLAS INC X 10; N_Q
1046503690019; GONOL; GONOL; NOT FOUND; 3.5 G + 1 G PO SUS OR CT FR VD AMB X 60 ML; N_Q
1046501980000; GINO-TERACIN; GINO TERACIN; NOT FOUND; CR VAG (BG C/45GR + 10 APL EMBAL); N_Q
1046502030058; GLICORP; GLICORP; NOT FOUND; 250MG COM REV CT 10 BL AL PLAS INC X10; N_Q
1046502030061; GLICORP; GLICORP; NOT FOUND; 250 MG COM REV CT 5 BL AL PLAS INC X 10; N_Q
1046502030041; GLICORP; GLICORP; NOT FOUND; 250 MG COM REV CX 50 BL AL PLAS INC X 10 (EMB HOSP); N_Q
1046502140015; GESTRADIOL; GESTRADIOL; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21 ; N_Q
1046501390018; GESTROCON; GESTROCON; NOT FOUND; 0.625 MG/G CREM VAG CT BG AL X 25 G + APLIC; N_Q
1046501770023; GARBITAL; GARBITAL; NOT FOUND; 100 MG COM CT 2 BL AL PLAS INC X 10; N_Q
1046501190019; GLIONIL; GLIONIL; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; N_Q
1046505120041; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA;  5 MG COM CT BL AL PLAS INC X 30; N_Q
1046503360027; GLIMERAN; GLIMERAN; NOT FOUND; 2 MG COM CT 2 BL AL PLAS INC X 15; N_Q
1046504730243; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 16.00 MG/ML XPE FR PLAS INC X 120 ML + COP ; N_Q
1046504730121; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 13.3 MG/ML XPE FR PLAS INC X 120 ML + COP; N_Q
1046503230018; GASTROPAN; GASTROPAN; NOT FOUND; 40 MG COM REVE CT FR PLAS OPC X 14; N_Q
1046503230069; GASTROPAN; GASTROPAN; NOT FOUND; COMP. REV 20MG CX C/14; N_Q
