1046501200014; HECLIVIR; HECLIVIR; NOT FOUND; 50 MG/G CREM DERM CT BG AL X 10 G; N_Q
1046501200030; HECLIVIR; HECLIVIR; NOT FOUND; 200 MG COM CT BL AL PLAS AMB X 25; N_Q
1046501200081; HECLIVIR; HECLIVIR; NOT FOUND; 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); N_Q
1046502410039; HIDROPRIL; HIDROPRIL; NOT FOUND; CP (CX C/2 BL C/8); N_Q
1046502410047; HIDROPRIL; HIDROPRIL; NOT FOUND; CP (CX C/3 BL C/10); N_Q
1046501610018; HIPERNOLOL; HIPERNOLOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 40; N_Q
1046501610026; HIPERNOLOL; HIPERNOLOL; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 20; N_Q
1046500870029; HIPODERMON; HIPODERMON; NOT FOUND; POMADA (BG AL C/45GR); N_Q
1046503820011; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS INC X 20 ; N_Q
1046503820028; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50MG COM CX 10 BL AL PLAS INC X 15 (EMB HOSP); N_Q
1046503820044; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 30; N_Q
1046500240047; HISTAMIN; HISTAMIN; NOT FOUND; 0.4 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; N_Q
1046500240055; HISTAMIN; HISTAMIN; NOT FOUND; 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML ( EMB HOSP); N_Q
1046500240019; HISTAMIN; HISTAMIN; NOT FOUND; 2 MG COM CT 2 BL AL PLAS INC X 10; N_Q
1046500240081; HISTAMIN; HISTAMIN; NOT FOUND; 2 MG COM CX 25  BL AL PLAS INC X 20 ( EMB HOSP); N_Q
