1046501740027; TENSALIV; TENSALIV; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 20; N_Q
1046501740051; TENSALIV; TENSALIV; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 20; N_Q
1046502200026; TORSILAX; TORSILAX; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM DISP BL AL PLAS INC X 100 (EMB HOSP); N_Q
1046502200018; TORSILAX; TORSILAX; NOT FOUND; 125MG + 50MG + 300MG +30MG COM CT BL AL PLAS INC X 30; N_Q
1046502200042; TORSILAX; TORSILAX; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM CT BL AL PLAS INC X 12; N_Q
1046500450025; TEGREX; TEGREX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; N_Q
1046500450017; TEGREX; TEGREX; NOT FOUND; 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); N_Q
1046503250019; TRAMADEN; TRAMADEN; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 10; N_Q
1046503250027; TRAMADEN; TRAMADEN; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 100 ; N_Q
1046500720048; TERMOPIRONA; TERMOPIRONA; NOT FOUND; INJ 500MG/ML (CX C/50 AMP C/2ML); N_Q
1046500720081; TERMOPIRONA; TERMOPIRONA; NOT FOUND; GTS 500MG/ML (DISP C/10 FR C/10ML); N_Q
1046500720021; TERMOPIRONA; TERMOPIRONA; NOT FOUND; GTS 500MG/ML (FRPL C/10ML); N_Q
1046500720146; TERMOPIRONA; TERMOPIRONA; NOT FOUND; GTS 500MG/ML(FRPL C/10ML) LARANJA; N_Q
1046500720103; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 500  MG/ML SOL OR CT FR PLAS OPC GOT  X 20 ML; N_Q
1046500720031; TERMOPIRONA; TERMOPIRONA; NOT FOUND; CP 500MG (CX C/25 BL C/4); N_Q
1046504010011; TILUGEN; TILUGEN; NOT FOUND; 2MG/ML XPE CT FR VD AMB X 120ML + CP MED; N_Q
1046505110052; TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG/ G + 2.5 MG/ G + 0.25 MG/ G + 100.000 UI/ G POM DERM CT BG AL X 30 G; N_Q
1046502550043; TIROIDIN; TIROIDIN; NOT FOUND; 100 MCG COM CT BL AL PLAS INC X 30; N_Q
1046504540010; TIMONEO; TIMONEO; NOT FOUND; 2.5 MG/ ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; N_Q
1046504540037; TIMONEO; TIMONEO; NOT FOUND; 5.0 MG/ ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; N_Q
1046504410117; TYNEO; TYNEO; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; N_Q
1046504410052; TYNEO; TYNEO; NOT FOUND; 750 MG COM DISPLAY BL AL PLAS AMB X 100; N_Q
1046504600031; TIAMIN; TIAMIN; NOT FOUND; SOL INJ CT 50 AMP VD AMB X 02 ML; N_Q
1046504600013; TIAMIN; TIAMIN; NOT FOUND; SOL OR CT FR VD AMB X 100 ML; N_Q
1046504600021; TIAMIN; TIAMIN; NOT FOUND; SOL OR CT FR VD AMB X 30 ML; N_Q
