1046502310026; BRONDYNEO; BRONDYNEO; NOT FOUND; 25MG/5ML XPE INF (VD C/120ML); N_Q
1046502310018; BRONDYNEO; BRONDYNEO; NOT FOUND; 10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED; N_Q
1046504890011; BENZOAX; BENZOAX; NOT FOUND; 250 MG/ML EMU TOP CT FR PLAS OPC X 100 ML; N_Q
1046504920018; BENZOAX; BENZOAX; NOT FOUND; 6.0 G SAB CT PAP PARAF X 60 G; N_Q
1046503970011; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 80 ML ; N_Q
1046503970021; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CX 50 FR VD AMB X 80 ML (EMB HOSP); N_Q
1046504090041; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 240 (EMB HOSP); N_Q
1046504090031; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30 ; N_Q
1046504090023; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 240 (EMB HOSP); N_Q
1046504090015; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30 ; N_Q
1046504460033; BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA; BETAMETASONA MALEATO DEXCLORFENIRAMINA; NOT FOUND; 0.4 MG/ML +0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; N_Q
1046504080011; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML ; N_Q
1046504080028; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL P/ INAL CX 50 FR VD AMB GOT X 20 ML (EMB HOSP); N_Q
1046501870079; BROMIFEN; BROMIFEN; NOT FOUND; 5 MG/ML SOL OR CX  50 FR VD AMB X 20 ML + CONTA GOTAS (EMB HOSP); N_Q
1046504840014; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; N_Q
1046504760037; BECLONATO; BECLONATO; NOT FOUND; 5 MG/ML + 2 MG/ML  SUS INJ CT AMP VD INC X 1ML + SERINGA; N_Q
1046504760029; BECLONATO; BECLONATO; NOT FOUND; 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP); N_Q
1046500310041; BUTAZIL; BUTAZIL; NOT FOUND; CP (CX C/2 BL C/10); N_Q
1046500660010; BONTOSS; BONTOSS; NOT FOUND; XPE (VD C/100ML); N_Q
1046502570011; BACTRONEO; BACTRONEO; NOT FOUND; CREM. DERM (BG C/15GR); N_Q
1046502570036; BACTRONEO; BACTRONEO; NOT FOUND; 20 MG/G POM DERM CT BG AL X 15 G; N_Q
1046504550016; BABYNEO; BABYNEO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G ; N_Q
1046500140010; BOLDOPEPTAN; BOLDOPEPTAN; NOT FOUND; SOL (VD C/100ML); N_Q
