1046504900017; MIORRELAX; MIORRELAX; NOT FOUND; 300 MG + 35 MG + 50 MG COM CT BL AL PLAS AMB X 100; N_Q
1046504900025; MIORRELAX; MIORRELAX; NOT FOUND; 300 MG + 35 MG + 50 MG COM CT BL AL PLAS AMB X 20; N_Q
1046501470011; MUCOCISTEIN; MUCOCISTEIN; NOT FOUND; XPE AD (VD C/100ML); N_Q
1046501470021; MUCOCISTEIN; MUCOCISTEIN; NOT FOUND; XPE INF (VD C/100ML); N_Q
1046502090042; MIODARID; MIODARID; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 20; N_Q
1046503390015; MAGNOSTASE; MAGNOSTASE; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 12; N_Q
1046503390031; MAGNOSTASE; MAGNOSTASE; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 200; N_Q
1046500090000; MASSAGEOL; MASSAGEOL; NOT FOUND; TUBO AL C/120 ML; N_Q
1046500090053; MASSAGEOL; MASSAGEOL; NOT FOUND; POM DERM CT BG AL X 15 G; N_Q
1046500090015; MASSAGEOL; MASSAGEOL; NOT FOUND; POM DERM CT BG AL X 30 G; N_Q
1046503050015; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2MG/5ML SOL OR FR C/ 120 ML; N_Q
1046504630011; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30 G; N_Q
1046505060020; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL PLAS INC X 20; N_Q
1046503920030; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT ENV AL X 30; N_Q
1046503920057; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT ENV AL X 30 ; N_Q
1046503920014; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT ENV AL X 30 ; N_Q
1046503920049; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10MG COM CX ENV AL X 150 (EMBA HOSP); N_Q
1046503920065; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CX ENV AL X 150 (EMB HOSP); N_Q
1046504620030; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5.0 MG/ ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; N_Q
1046502840017; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; N_Q
1046503000012; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6; N_Q
1046504670011; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 10; N_Q
1046502990027; METOCLOPRAMIDA; METOCLOPRAMIDA; METOCLOPRAMIDA; 5 MG/ML SOL INJ CX 100 AMP VD INC X 2 ML; N_Q
1046503840010; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250MG CX COM 20 BL AL PLAS INC X 10 EMB HOSP ; N_Q
1046503840029; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 250 MG CT COM 2 BL AL PLAS INC X 10; N_Q
