1046504100053; CETILPLEX; CETILPLEX; NOT FOUND; 20MG/ML XPE CT FR VD AMB X 100ML; N_Q
1046504100010; CETILPLEX; CETILPLEX; NOT FOUND; 100MG GRAN CT 16 ENV KRAFT POLIET X 5G; N_Q
1046504100037; CETILPLEX; CETILPLEX; NOT FOUND; 200MG GRAN CT 16 ENV KRAFT POLIET X 5G; N_Q
1046503260014; CALAMYN; CALAMYN; NOT FOUND; 80 MG/ML + 10 MG/ML + 1 MG/ML LOC CT FR PLAS OPC X 120 ML; N_Q
1046500520031; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; N_Q
1046500520066; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; N_Q
1046500520023; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; N_Q
1046500520013; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; N_Q
1046504140020; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; N_Q
1046504140039; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CX BL AL PLAS INC X 150 (EMB HOSP); N_Q
1046504140047; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CX BL AL PLAS INC X 160 (EMB HOSP); N_Q
1046504140071; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CX BL AL PLAS INC X 150 (EMB HOSP); N_Q
1046504140081; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CX BL AL PLAS INC X 160 (EMB HOSP); N_Q
1046504140063; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; N_Q
1046504140111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CX BL AL PLAS INC X 150 (EMB HOSP); N_Q
