1046503540017; LEZEPAN; LEZEPAN; NOT FOUND; 3 MG COM CT 2 BL AL PLAS INC X 10; N_Q
1046503540025; LEZEPAN; LEZEPAN; NOT FOUND; 6 MG COM CT 2 BL AL PLAS INC X 10; N_Q
1046501300019; LIDOGEL; LIDOGEL; NOT FOUND; GEL 30GR C/ APLICADOR URETRAL; N_Q
1046501300027; LIDOGEL; LIDOGEL; NOT FOUND; 20 MG/G GEL TOP CX 50 BG AL X 30G (EMB HOSP); N_Q
1046504980010; LORENTIL; LORENTIL; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G ; N_Q
1046502470015; LOZIL; LOZIL; NOT FOUND; 900 MG COM REV CT BL AL PLAS INC X 12; N_Q
1046503200011; LISOCLOR; LISOCLOR; NOT FOUND; 20 MG + 12.5 MG COM CT 3 BL AL PLAS INC X 10; N_Q
1046501910021; LOMBALGINA; LOMBALGINA; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 20; N_Q
1046503090038; LISOPRIL; LISOPRIL; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 10; N_Q
1046504440016; LORATADINA; LORATADINA; LORATADINA; 1.0 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; N_Q
1046504380013; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ ML + 12 MG/ ML XPE CT FR VD AMB X 60 ML + CP MED; N_Q
1046502600024; LORAPAN; LORAPAN; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 20; N_Q
1046502600016; LORAPAN; LORAPAN; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 20; N_Q
1046505050041; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 30; N_Q
1046505050246; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS INC X 30; N_Q
1046503380011; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14 ; N_Q
1046503380028; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; N_Q
1046503380087; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 490 (EMB. HOSP); N_Q
1046502940046; LIPOCLIN; LIPOCLIN; NOT FOUND; 20 MG COM CT  FR PLAS OPC X 30; N_Q
1046502040010; LOXAM; LOXAM; NOT FOUND; 7.5 MG COM CT BL AL PLAS INC X 10; N_Q
