1046503190016; PYLORIKIT; PYLORIKIT; NOT FOUND; CX C/7 BLISTERS X 4 + 2 + 2; N_Q
1046503530011; PLESONAX; PLESONAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 20 ; N_Q
1046503530054; PLESONAX; PLESONAX; NOT FOUND; 5 MG DRG CT BL AL PLAS INC X 100; N_Q
1046501810017; PARKLEN; PARKLEN; NOT FOUND; 25 + 250 MG COM CT BL AL PLAS INC X 30; N_Q
1046501810025; PARKLEN; PARKLEN; NOT FOUND; 25 MG + 250 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); N_Q
1046504750058; PYLORISET; PYLORISET; NOT FOUND; 30+500+500 CAP GEL DURA +COM REV +CAP GEL DURA CT BL AL PLAS X 14+14+28; N_Q
1046501250178; PROXACIN; PROXACIN; NOT FOUND; 2 MG/ML SOL INJ CX 12 FR PLAS TRANS X 100 ML (EMB HOSP); N_Q
1046501250216; PROXACIN; PROXACIN; NOT FOUND; 3.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; N_Q
1046501250011; PROXACIN; PROXACIN; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; N_Q
1046501250038; PROXACIN; PROXACIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; N_Q
1046501250089; PROXACIN; PROXACIN; NOT FOUND; 500 MG COM REV CT 2 BL AL PLAS INC X 7; N_Q
1046501250070; PROXACIN; PROXACIN; NOT FOUND; 500 MG COM REV CX  BL AL PLAS INC X 480 (EMB HOSP); N_Q
1046503430051; PRURIFEN; PRURIFEN; NOT FOUND; 0.2 MG/ML XPE CT FR VD AMB X 120 ML; N_Q
1046503760025; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR 50 FR PLAS OPC GOT X 15 ML (EMB HOSP); N_Q
1046503760017; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR FR PLAS OPC GOT X 15 ML  ; N_Q
1046503810014; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP); N_Q
1046503810030; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CX 50 BL AL PLAS INC X 4 (EMB HOSP); N_Q
1046503810022; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM DISPLAY 25 BL AL PLAS INC X 4 (EMB HOSP); N_Q
1046504170027; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG COM CT BL AL PLAS LAR X 20; N_Q
1046503810065; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CX 50 BL AL PLAS INC X 10; N_Q
1046503810049; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISPLAY 25 BL AL PLAS INC X 4; N_Q
1046504170019; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM DISPLAY BL AL PLAS LAR X 200; N_Q
1046504040018; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15  ; N_Q
1046504040034; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; N_Q
1046504110032; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10  ; N_Q
1046504110040; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 20 ; N_Q
1046504110016; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20; N_Q
1064502760056; PROPIOSOL; PROPIOSOL; NOT FOUND; CREME 0.5MG/GR (BISN AL C/30GR); N_Q
1046502760072; PROPIOSOL; PROPIOSOL; NOT FOUND; 0.5 MG POM DERM CT BG AL X 30 G; N_Q
1046504000040; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.50 MG/G CREM DERM CT BG AL X 30 G  ; N_Q
1046504000059; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CX 50 BG AL X 30 G; N_Q
1046503990047; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G; N_Q
1046503990055; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CX 50 BG AL X 30 G; N_Q
1046504000016; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT BG AL X 15 G; N_Q
1046504000032; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CX 50 BG AL X 15 G; N_Q
1046503990012; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 15 G; N_Q
1046503990039; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CX 50 BG AL X 15 G; N_Q
