1516700360011; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5MG COM CT BL AL PLAS INC X 30 ; AOB
1516700360021; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25MG COM CT BL AL PLAS INC X 30 ; AOB
1516700360038; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50MG COM CT BL AL PLAS INC X 30 ; AOB
1516700370017; CEFADROXILA; CEFADROXILA; CEFADROXILA; 50 MG/ML PO P/ SUS OR CT FR PLAS INC X 100 ML + SER DOSAD; AOB
1516700260017; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 8; AOB
1516700260025; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 200 (EMB HOSP); AOB
1516700260033; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 400 (EMB HOSP); AOB
1516700080035; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PVC/PVDC INC X 8; AOB
1516700080043; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PVC/PVDC INC X 10; AOB
1516700200030; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PVC/PE/PVDC INC X 100 (EMB HOSP); AOB
1516700200049; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PVC/PE/PVDC INC X 200 (EMB HOSP); AOB
1516700200022; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PVC/PE/PVDC INC X 8; AOB
1516700200014; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PVC/PE/PVDC INC X 10; AOB
1516700060018; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT FA VD INC + DIL AMP PLAS INC X 10 ML; AOB
1516700060026; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS INC  X 10 ML (EMB HOSP); AOB
1516700060034; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT FA VD INC + DIL AMP PLAS INC  X 5 ML; AOB
1516700060042; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS INC  X 5 ML (EMB HOSP); AOB
1516700060050; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
1516700030021; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CT 1 FA VD INC +  1 DIL X 10 ML; AOB
1516700030011; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO INJ CT 25 FA VD INC + 25 DIL X 10 ML; AOB
1516700030038; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
1516700050012; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 500 MG PO P/ SOL INJ CT 01 FA VD INC + 01 DIL AMP VD INC X 5 ML; AOB
1516700050020; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 500 MG PO P/ SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 5 ML; AOB
