1516700280026; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED; AOB
1516700280018; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED; AOB
1516700190019; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; AOB
1516700190035; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; AOB
1516700190027; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; AOB
1516700190043; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 350 (EMB HOSP); AOB
1516700190051; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 70 (EMB HOSP) ; AOB
1516700190061; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 140 (EMB HOSP) ; AOB
1516700230010; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 200 MG PO LIOF P/ SOL INJ IV CT 10 FA VD INC X 30 ML; AOB
1516700160047; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 1 FA VD INC; AOB
1516700160055; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 12 FA VD INC; AOB
1516700160081; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
1516700160039; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 500 MG PO P/ SOL INJ CT 12 FA VD INC; AOB
1516700160098; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 500 MG PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
1516700220023; AMPICILINA SÓDICA + SULBACTAM SÓDICO; AMPICILINA SODICA SULBACTAM SODICO; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30 ML(EMB HOSP) ; AOB
1516700220015; AMPICILINA SÓDICA + SULBACTAM SÓDICO; AMPICILINA SODICA SULBACTAM SODICO; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30 ML(EMB HOSP); AOB
1516700220031; AMPICILINA SÓDICA + SULBACTAM SÓDICO; AMPICILINA SODICA SULBACTAM SODICO; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30 ML (EMB HOSP); AOB
1516700220041; AMPICILINA SÓDICA + SULBACTAM SÓDICO; AMPICILINA SODICA SULBACTAM SODICO; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30 ML (EMB HOSP); AOB
1516700330015; AUROPENZ; AUROPENZ; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 20 FA VD INC X 30ML EMB HOSP; AOB
1516700330023; AUROPENZ; AUROPENZ; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 30ML EMB HOSP; AOB
1516700330031; AUROPENZ; AUROPENZ; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 20 FA VD INC X 30ML EMB HOSP; AOB
1516700330041; AUROPENZ; AUROPENZ; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 30ML EMB HOSP; AOB
1516700320011; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 14; AOB
1516700320052; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 14; AOB
1516700320060; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 28; AOB
1516700320028; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 28; AOB
1516700320036; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 14 ; AOB
1516700320044; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 28; AOB
1516700320079; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; AOB
1516700320087; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 60; AOB
1516700320095; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; AOB
1516700320109; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; AOB
1516700320117; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; AOB
1516700320125; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 60; AOB
1516700390018; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 10 ; AOB
1516700390026; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 20; AOB
1516700390034; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 10 ; AOB
1516700390042; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 20; AOB
1516700390050; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 100 (EMB HOSP); AOB
1516700390069; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 200 (EMB HOSP); AOB
1516700390077; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 500 (EMB HOSP); AOB
1516700390085; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 100 (EMB HOSP); AOB
1516700390093; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 200 (EMB HOSP); AOB
1516700390107; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 500 (EMB HOSP); AOB
1516700340029; AUROTAZ-P; AUROTAZ P; NOT FOUND; 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML; AOB
1516700340010; AUROTAZ-P; AUROTAZ P; NOT FOUND; 2G + 0.25G PO LIOF P/ SOL INJ  IV CT FA VD INC X 30ML; AOB
