58268, VA DTPA/HB/IPV/HIB , VA DTPA HB IPV HIB, NOT FOUND, F.AM+SER/DIL 0.50 ML x 1, GSK
92711, VAC A DTPP REF 123 , VAC A DTPP REF 123, NOT FOUND, SER PREENCH 0.50 ML x 1, GSK
57276, VAC C DTPA IPV HIB , VAC C DTPA IPV HIB, NOT FOUND, AMP. 0.50 ML x 1, GSK
59302, VAC C DTPA REFORCO , VAC C DTPA REFORCO, NOT FOUND, JER.PRELL IM 0.50 ML x 1, GSK
54462, VAC C I HEPAT A/B , VAC C I HEPAT A B, NOT FOUND, SER.DES 1 ML x 1 (ADLT), GSK
57555, VAC C SAR/CAX/RUB , VAC C SAR CAX RUB, NOT FOUND, F.AM+SER/DIL 0.50 ML x 1, GSK
74011, VAC C/ HPV ONCOGEN , VAC C HPV ONCOGEN, NOT FOUND, SER PREENCH 0.50 ML x 1, GSK
57277, VAC COMB DTPA , VAC COMB DTPA, NOT FOUND, SER.PRE-ENCH 0.50 ML x 1, GSK
71321, VAC COMB DTPA HIB , VAC COMB DTPA HIB, NOT FOUND, F.AM+SER/DIL 0.50 ML x 1, GSK
46788, VAC HEPATITE B , VAC HEPATITE B, VACINA HEPATITE B RECOMBINANTE, AMP AD 20 Y 1 ML x 1, GSK
52014, VAC HEPATITE B , VAC HEPATITE B, VACINA HEPATITE B RECOMBINANTE, AMP INF 10 Y 0.50 ML x 1, GSK
61233, VAC I HEPATITE A , VAC I HEPATITE A, NOT FOUND, JER.PRELL 1440 IU 1 ML x 1 (ADLT), GSK
61232, VAC I HEPATITE A , VAC I HEPATITE A, NOT FOUND, JER.PRELL 720 IU 0.50 ML x 1 (INF, GSK
76679, VAC PNEUMOC 10-VAL , VAC PNEUMOC 10 VAL, NOT FOUND, SER-PREEN IM 0.50 ML x 1, GSK
77541, VAC SAR/CAX/RUB/VA , VAC SAR CAX RUB VA, NOT FOUND, SER PREENCH 0.50 ML x 1, GSK
56982, VAC V A VARICELA , VAC V A VARICELA, NOT FOUND, F.IM SOL+JER 0.50 ML x 1, GSK
53124, VAC V I GRIPE , VAC V I GRIPE, NOT FOUND, JER.PRELL 0.50 ML x 1, GSK
80232, VAC V I GRIPE , VAC V I GRIPE, NOT FOUND, JER.PRELL 0.50 ML x 10, GSK
72745, VAC.ROTAVIRUS HUMA , VAC ROTAVIRUS HUMA, VACINA ROTAVIRUS HUMANO/BOVINO G1, G2, G3, G4 E P1A8 ATENUADA, SERINGA ORAL 1.50 ML x 1, GSK
53063, VALTREX , VALTREX, NOT FOUND, CPR 500 MG x 10, GSK
51273, VALTREX , VALTREX, NOT FOUND, CPR 500 MG x 42, GSK
85076, VOLIBRIS , VOLIBRIS, NOT FOUND, CPR REVEST 10 MG x 30, GSK
85074, VOLIBRIS , VOLIBRIS, NOT FOUND, CPR REVEST 5 MG x 30, GSK
80737, VOTRIENT , VOTRIENT, NOT FOUND, CPR REVEST 200 MG x 30, GSK
80738, VOTRIENT , VOTRIENT, NOT FOUND, CPR REVEST 200 MG x 90, GSK
80739, VOTRIENT , VOTRIENT, NOT FOUND, CPR REVEST 400 MG x 30, GSK
80740, VOTRIENT , VOTRIENT, NOT FOUND, CPR REVEST 400 MG x 60, GSK
