51679; ZENTEL ; ZENTEL; NOT FOUND; CPR MASC 200 MG x 12; GSK
46376; ZENTEL ; ZENTEL; NOT FOUND; CPR MASC 200 MG x 2; GSK
50266; ZENTEL ; ZENTEL; NOT FOUND; CPR MASC 400 MG x 1; GSK
52059; ZENTEL ; ZENTEL; NOT FOUND; CPR MASC 400 MG x 5; GSK
46671; ZENTEL ; ZENTEL; NOT FOUND; SUSP 4 % 10 ML x 1; GSK
44091; ZINACEF ; ZINACEF; NOT FOUND; F.IV LIOF 750 MG 6 ML x 1; GSK
60400; ZINNAT ; ZINNAT; NOT FOUND; CPR 500 MG x 14; GSK
60401; ZINNAT ; ZINNAT; NOT FOUND; CPR 500 MG x 20; GSK
47385; ZINNAT ; ZINNAT; NOT FOUND; CPR REVEST 250 MG x 10; GSK
55576; ZINNAT ; ZINNAT; NOT FOUND; PO P/SUSP 250 MG 50 ML x 1 (/5ML); GSK
58977; ZINNAT ; ZINNAT; NOT FOUND; PO P/SUSP 250 MG 70 ML x 1 (/5ML); GSK
80477; ZINNAT ; ZINNAT; NOT FOUND; SACHE. 250 MG x 14; GSK
84481; ZINNAT ; ZINNAT; NOT FOUND; SACHE. 250 MG x 20; GSK
61182; ZITROMIL ; ZITROMIL; NOT FOUND; CPR REVEST 500 MG x 3; GSK
61183; ZITROMIL ; ZITROMIL; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1; GSK
61184; ZITROMIL ; ZITROMIL; NOT FOUND; PO P/SUSP 900 MG 22.5 ML x 1; GSK
51230; ZOFRAN ; ZOFRAN; NOT FOUND; A.IV 8 MG 4 ML x 5; GSK
54083; ZOFRAN ; ZOFRAN; NOT FOUND; A.IV PLAST 4 MG 2 ML x 5; GSK
54084; ZOFRAN ; ZOFRAN; NOT FOUND; A.IV PLAST 8 MG 4 ML x 5; GSK
48591; ZOFRAN ; ZOFRAN; NOT FOUND; CPR REVEST 4 MG x 10; GSK
48592; ZOFRAN ; ZOFRAN; NOT FOUND; CPR REVEST 8 MG x 10; GSK
44285; ZOVIRAX ; ZOVIRAX; NOT FOUND; CPR 200 MG x 25; GSK
45314; ZOVIRAX ; ZOVIRAX; NOT FOUND; CREME 50 MG 10 G x 1 (/G); GSK
44286; ZOVIRAX ; ZOVIRAX; NOT FOUND; POM. OFTAL 30 MG 4.50 G x 1 (/ML); GSK
44397; ZOVIRAX IV ; ZOVIRAX IV; NOT FOUND; F.IV LIOF 250 MG x 5; GSK
64076; ZYBAN ; ZYBAN; NOT FOUND; CPR.RE.LP 150 MG x 30; GSK
55577; ZYBAN ; ZYBAN; NOT FOUND; CPR.RE.LP 150 MG x 60; GSK
57212; ZYRTEC ; ZYRTEC; NOT FOUND; CPR REVEST 10 MG x 12; GSK
50673; ZYRTEC ; ZYRTEC; NOT FOUND; SOLN 1 MG 120 ML x 1 (/ML); GSK
55578; ZYRTEC-D ; ZYRTEC D; NOT FOUND; CAPS x 10; GSK
