57092; FLIXONASE AQUOSO ; FLIXONASE AQUOSO; NOT FOUND; SPR.NAS.DOSE 50 Y x 120 (/DOS); GSK
51694; FLIXONASE AQUOSO ; FLIXONASE AQUOSO; NOT FOUND; SPR.NAS.DOSE 50 Y x 60 (/DOS); GSK
51249; FLIXOTIDE ; FLIXOTIDE; NOT FOUND; AERO DOSIS 250 Y x 60 (/DOS); GSK
66131; FLIXOTIDE ; FLIXOTIDE; NOT FOUND; AERO DOSIS 50 Y x 120 (/DOS); GSK
51248; FLIXOTIDE ; FLIXOTIDE; NOT FOUND; AERO DOSIS 50 Y x 60 (/DOS); GSK
57094; FLIXOTIDE ; FLIXOTIDE; NOT FOUND; DISKU PO.INH 250 Y x 60 (/DOS); GSK
57093; FLIXOTIDE ; FLIXOTIDE; NOT FOUND; DISKU PO.INH 50 Y x 60 (/DOS); GSK
46519; FORTAZ ; FORTAZ; NOT FOUND; F.AMP SOLV 1 G 10 ML x 1; GSK
49952; FORTAZ ; FORTAZ; NOT FOUND; F.INFUSAO 2 G 10 ML x 1; GSK
49643; FRAXIPARINA ; FRAXIPARINA; NOT FOUND; DISP S.C 15 K 0.60 ML x 5; GSK
46944; FRAXIPARINA ; FRAXIPARINA; NOT FOUND; DISP S.C 7500 IU 0.30 ML x 10; GSK
