86047; HUMALOG ; HUMALOG; NOT FOUND; CART KWIKPEN 3 ML x 1; LLY
78084; HUMALOG ; HUMALOG; NOT FOUND; CART KWIKPEN 3 ML x 5; LLY
68659; HUMALOG ; HUMALOG; NOT FOUND; CARTUCHO 3 ML x 5; LLY
51757; HUMALOG ; HUMALOG; NOT FOUND; F.AMP 100 IU 10 ML x 1 (/ML); LLY
57876; HUMALOG ; HUMALOG; NOT FOUND; F.AMP REFIL 100 IU 3 ML x 2; LLY
86055; HUMALOG MIX 25 ; HUMALOG MIX 25; NOT FOUND; CART KWIKPEN 3 ML x 1; LLY
78180; HUMALOG MIX 25 ; HUMALOG MIX 25; NOT FOUND; CART KWIKPEN 3 ML x 5; LLY
68660; HUMALOG MIX 25 ; HUMALOG MIX 25; NOT FOUND; CARTUCHO 3 ML x 5; LLY
58863; HUMALOG MIX 25 ; HUMALOG MIX 25; NOT FOUND; SOL INJ CARP 100 IU 3 ML x 2 (/ML); LLY
85927; HUMALOG MIX 50 ; HUMALOG MIX 50; NOT FOUND; CART KWIKPEN 3 ML x 1; LLY
78181; HUMALOG MIX 50 ; HUMALOG MIX 50; NOT FOUND; CART KWIKPEN 3 ML x 5; LLY
74517; HUMALOG MIX 50 ; HUMALOG MIX 50; NOT FOUND; CARTUCHO 3 ML x 5; LLY
50530; HUMULIN 70/30 ; HUMULIN 70 30; NOT FOUND; F.AMP S.C 100 IU 10 ML x 1 (/ML); LLY
57879; HUMULIN 70/30 ; HUMULIN 70 30; NOT FOUND; REFILL 100 IU 3 ML x 2; LLY
47400; HUMULIN L ; HUMULIN L; NOT FOUND; F.AMP S.C 100 IU 10 ML x 1 (/ML); LLY
47401; HUMULIN N ; HUMULIN N; NOT FOUND; F.AMP S.C 100 IU 10 ML x 1 (/ML); LLY
57877; HUMULIN N ; HUMULIN N; NOT FOUND; REFILL 100 IU 3 ML x 2; LLY
47402; HUMULIN R ; HUMULIN R; NOT FOUND; F.AMP S.C 100 IU 10 ML x 1 (/ML); LLY
57878; HUMULIN R ; HUMULIN R; NOT FOUND; REFILL 100 IU 3 ML x 2; LLY
