538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538503102163113, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G POM CT BG AL X 20 G, HY_
538503101167115, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1MG/G CREME CT BG AL X 20G, HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
538503102163113, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G POM CT BG AL X 20 G, HY_
538503101167115, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1MG/G CREME CT BG AL X 20G, HY_
538501601111414, FLUVIRAL, FLUVIRAL, NOT FOUND, (400 +4 +4) MG COM DISP BL AL PLAS AMB X 150 (EMB MULT), HY_
