509000404115419; ALENDIL; ALENDIL; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 12; FQM
509000405111417; ALENDIL; ALENDIL; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 2; FQM
509000406118415; ALENDIL; ALENDIL; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4; FQM
509000407114413; ALENDIL; ALENDIL; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 8; FQM
509004602116317; ALENDIL CÁLCIO D; ALENDIL CALCIO D; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4 + (500 + 2) MG COM REV FR POLIET X 30; FQM
509004601111311; ALENDIL CÁLCIO D; ALENDIL CALCIO D; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4 + (500 + 2) MG COM REV FR POLIET X 60; FQM
509000805111414; AZITRAX; AZITRAX; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 1; FQM
509000806116411; AZITRAX; AZITRAX; NOT FOUND; 1000 MG COM REV CT BL AL PLAST INC X 2; FQM
509000202131316; ACTIFEDRIN; ACTIFEDRIN; NOT FOUND; 6 MG/ML + 0.25 MG/ML XPE CT FR VD AMB X 100 ML; FQM
509000201117311; ACTIFEDRIN; ACTIFEDRIN; NOT FOUND; 2.5 MG + 60 MG COM CT BL AL PLAS INC X 20; FQM
509000301111410; ADOLESS; ADOLESS; NOT FOUND; 0.060MG+0.015MG COM REV CT BL AL PLAS INC CALEN X 24+4 COM PLACEBO ; FQM
509004403131316; ANNITA; ANNITA; NOT FOUND; 20 MG/ML PO SUSP OR CT FR VD AMB X 100 ML; FQM
509004401137317; ANNITA; ANNITA; NOT FOUND; 20 MG/ML PO SUSP OR CT FR VD AMB X 45 ML ; FQM
509004402117311; ANNITA; ANNITA; NOT FOUND; 500 MG COMP REV CT BL AL PLAS X 6 ; FQM
