113322; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 100 MG x 30; MD7
113317; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 25 MG x 30; MD7
113320; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 50 MG x 30; MD7
84999; LANELI ; LANELI; NOT FOUND; CAPS GEL x 30; MD7
89070; LANELI ; LANELI; NOT FOUND; CAPS GEL x 60; MD7
63059; LANSODOM ; LANSODOM; NOT FOUND; CAPS GELATIN 15 MG x 35 (/10); MD7
63060; LANSODOM ; LANSODOM; NOT FOUND; CAPS GELATIN 30 MG x 35 (/10); MD7
58591; LANSOPRAZOL MG ; LANSOPRAZOL; LANSOPRAZOL; CAPS GELATIN 15 MG x 14; MD7
58592; LANSOPRAZOL MG ; LANSOPRAZOL; LANSOPRAZOL; CAPS GELATIN 15 MG x 28; MD7
58594; LANSOPRAZOL MG ; LANSOPRAZOL; LANSOPRAZOL; CAPS GELATIN 30 MG x 14; MD7
58595; LANSOPRAZOL MG ; LANSOPRAZOL; LANSOPRAZOL; CAPS GELATIN 30 MG x 28; MD7
58593; LANSOPRAZOL MG ; LANSOPRAZOL; LANSOPRAZOL; CAPS GELATIN 30 MG x 7; MD7
62296; LANSOPRID ; LANSOPRID; NOT FOUND; CAPS GELATIN 15 MG x 35 (/10); MD7
62297; LANSOPRID ; LANSOPRID; NOT FOUND; CAPS GELATIN 30 MG x 35 (/10); MD7
65160; LIPOTEX ; LIPOTEX; NOT FOUND; CPR REVEST 10 MG x 30; MD7
65161; LIPOTEX ; LIPOTEX; NOT FOUND; CPR REVEST 20 MG x 30; MD7
65162; LIPOTEX ; LIPOTEX; NOT FOUND; CPR REVEST 40 MG x 30; MD7
61102; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 10; MD7
61101; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; MD7
61103; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 10; MD7
61104; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; MD7
61099; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 5 MG x 10; MD7
61100; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; MD7
64412; LORATA+PSEUDOEF.MG ; LORATA PSEUDOEF; NOT FOUND; XAR. 60 ML x 1; MD7
57891; LORATADINA MG ; LORATADINA; LORATADINA; XAROPE 5 MG 100 ML x 1 (/5ML); MD7
63252; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 1 MG x 20; MD7
63254; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 2 MG x 20; MD7
76792; LOSART.PO.+HCTZ MG ; LOSART PO HCTZ; NOT FOUND; CPR REVEST 12.5 MG x 30 (/50); MD7
76794; LOSART.PO.+HCTZ MG ; LOSART PO HCTZ; NOT FOUND; CPR REVEST 12.5 MG x 60 (/50); MD7
76793; LOSART.PO.+HCTZ MG ; LOSART PO HCTZ; NOT FOUND; CPR REVEST 25 MG x 30 (/100); MD7
76791; LOSART.PO.+HCTZ MG ; LOSART PO HCTZ; NOT FOUND; CPR REVEST 25 MG x 60 (/100); MD7
62856; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR 50 MG x 15; MD7
62857; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR 50 MG x 30; MD7
63016; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR 50 MG x 60; MD7
78368; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 100 MG x 30; MD7
