72536; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; CREME 20 G x 1; MD7
72535; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; POM. 20 G x 1; MD7
58458; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; CREME 15 G x 1; MD7
58459; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; CREME 30 G x 1; MD7
58460; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; LOC. 50 G x 1; MD7
58462; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; POM. 1 MG 15 G x 1 (/G); MD7
58463; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; POM. 1 MG 30 G x 1 (/G); MD7
58461; VALER.BETAMETA.MG ; VALER BETAMETA; VALERATO BETAMETASONA; SOLN CAPIL 50 G x 1; MD7
79592; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 160 MG x 30; MD7
79594; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 160 MG x 60; MD7
79596; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 320 MG x 30; MD7
79597; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 320 MG x 60; MD7
79590; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 80 MG x 30; MD7
79591; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 80 MG x 60; MD7
65205; VALTRIAN ; VALTRIAN; NOT FOUND; CPR REVEST 100 MG x 30; MD7
65206; VALTRIAN ; VALTRIAN; NOT FOUND; CPR REVEST 25 MG x 30; MD7
65207; VALTRIAN ; VALTRIAN; NOT FOUND; CPR REVEST 50 MG x 30; MD7
74793; VALTRIAN HCT ; VALTRIAN HCT; NOT FOUND; CPR REVEST 12.5 MG x 30 (/50); MD7
74794; VALTRIAN HCT ; VALTRIAN HCT; NOT FOUND; CPR REVEST 25 MG x 30 (/100); MD7
68066; VIVANZA ; VIVANZA; NOT FOUND; CPR REVEST 10 MG x 2; MD7
68067; VIVANZA ; VIVANZA; NOT FOUND; CPR REVEST 10 MG x 4; MD7
68069; VIVANZA ; VIVANZA; NOT FOUND; CPR REVEST 20 MG x 4; MD7
80204; VOLUNTA ; VOLUNTA; NOT FOUND; CPR REVEST 10 MG x 30; MD7
80205; VOLUNTA ; VOLUNTA; NOT FOUND; CPR REVEST 20 MG x 30; MD7
80206; VOLUNTA ; VOLUNTA; NOT FOUND; CPR REVEST 40 MG x 30; MD7
80207; VOLUNTA ; VOLUNTA; NOT FOUND; CPR REVEST 80 MG x 30; MD7
