55774, VAC A AD DI/TE/CO , VAC A AD DI TE CO, NOT FOUND, AMP. 0.50 ML x 1, SF2
86927, VAC A D/T/P/P123 , VAC A D T P P123, NOT FOUND, SER PRE+2AGU 0.50 ML x 1, SF2
72904, VAC ADS D/T/C A/PI , VAC ADS D T C A PI, NOT FOUND, SER PREENCH 0.50 ML x 1, SF2
75773, VAC ADS D/T/C/P/H , VAC ADS D T C P H, NOT FOUND, F.IM 0.50 ML x 1, SF2
59834, VAC ANTI RABICA , VAC ANTI RABICA, NOT FOUND, SERINGA+DIL 2.50 IU 0.50 ML x 1, SF2
55098, VAC CJ CONTRA HIB , VAC CJ CONTRA HIB, NOT FOUND, F.AMP SOLV 10 Y 0.50 ML x 1, SF2
57206, VAC CONT VAR BIKEN , VAC CONT VAR BIKEN, NOT FOUND, F.AMP LIOF 0.70 ML x 1, SF2
63865, VAC CONTRA GRIPE , VAC CONTRA GRIPE, NOT FOUND, F AMP . 0.50 ML x 10, SF2
55503, VAC CONTRA GRIPE , VAC CONTRA GRIPE, NOT FOUND, SER.DES 0.25 ML x 1 (INF), SF2
55504, VAC CONTRA GRIPE , VAC CONTRA GRIPE, NOT FOUND, SER.DES 0.50 ML x 1, SF2
71324, VAC CONTRA HEP A , VAC CONTRA HEP A, NOT FOUND, SER PED DOSE 0.50 ML x 1, SF2
56675, VAC CONTRA HEP A , VAC CONTRA HEP A, NOT FOUND, SER.DOSE 0.50 ML x 1, SF2
67834, VAC CONTRA HEP B , VAC CONTRA HEP B, NOT FOUND, AMP. 10 Y 0.50 ML x 1, SF2
67835, VAC CONTRA HEP B , VAC CONTRA HEP B, NOT FOUND, AMP. 20 Y 1 ML x 1, SF2
67837, VAC CONTRA HEP B , VAC CONTRA HEP B, NOT FOUND, AMP. 20 Y 1 ML x 20, SF2
155777, VAC DIFT/TET/PERT , VAC DIFT TET PERT, NOT FOUND, F.A 0.50 ML x 1, SF2
74981, VAC FEBRE AMARELA , VAC FEBRE AMARELA, VACINA FEBRE AMARELA ATENUADA, F.AMP LIOF 0.50 ML x 1, SF2
74982, VAC FEBRE TIFOIDE , VAC FEBRE TIFOIDE, VACINA FEBRE TIFOIDE ATENUADA, SER.PRE-ENCH 0.50 ML x 1, SF2
86928, VAC INFLUENZA , VAC INFLUENZA, VACINA INFLUENZA TRIVALENTE FRAGMENTADA, INATIVADA, SER PREEN 9 Y 0.10 ML x 1, SF2
55296, VAC PNEUMOCOCICA , VAC PNEUMOCOCICA, VACINA PNEUMOCOCICA 7-VALENTE CONJUGADA, SERINGA 0.50 ML x 1, SF2
61081, VAC TOXOIDE TETAN , VAC TOXOIDE TETAN, NOT FOUND, SERINGA 0.50 ML x 1, SF2
69788, VAC.C SAR/CAX/RUB , VAC C SAR CAX RUB, NOT FOUND, F.AMP 0.50 ML x 1, SF2
