509603901153419; CPHD BICARBONATO DE SÓDIO 8,4%; CPHD BICARBONATO SODIO 8 4; NOT FOUND; 8.4 G/100 ML SOL HD BAS CX BOMB PLAS TRANS X 5000 ML; FRS
509603601133412; CPHD GENIUS; CPHD GENIUS; NOT FOUND; SOL HD CX PLAS X 960 ML; FRS
509603701138416; CPHD GENIUS; CPHD GENIUS; NOT FOUND; SOL HD CX PLAS X 960 ML; FRS
509603801132411; CPHD GENIUS; CPHD GENIUS; NOT FOUND; SOL HD CX PLAS X 960 ML; FRS
509603501171411; CPHD GENIUS; CPHD GENIUS; NOT FOUND; CLORETO DE SODIO PO 331.3G + BICARBONATO DE SODIO 264.6G + GLICOSE ANIDRA 90.0G PO CX BOLSA PLAS; FRS
509604001156411; CPHD 24/34; CPHD 24 34; NOT FOUND; NA138 + K2 MEQ/L SOL HD ACD BOMB PLAS TRANS X 5000 ML; FRS
509603001136410; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; 22/44 - NA 138+K 2 MEQ/L SOL HD ACD BOLSA PLAS TRANS X 10000 ML; FRS
509603003139417; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; 23/44 - NA 138+K 2 MEQ/L SOL HD ACD BOLSA PLAS TRANS X 10000 ML; FRS
509603002132419; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; 22/44 - NA 138+K2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5000 ML; FRS
509603004135415; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; 23/44 - NA 138+K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5000 ML; FRS
509603005131413; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 10.000 ML (22/44); FRS
509603006138411; CPHD SEM GLICOSE 1:44; CPHD GLICOSE 1 44; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 10.000 ML (23/44); FRS
509602801139416; CPHD COM CITRATO E GLICOSE; CPHD CITRATO E GLICOSE; NOT FOUND; NA 139 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5000 ML (22CITG/44); FRS
509602802135414; CPHD COM CITRATO E GLICOSE; CPHD CITRATO E GLICOSE; NOT FOUND; NA 139 + K 3 MEQ/L SOL HD ACD GAL PLAS TRANS X 5000 ML (33CITG/44); FRS
509602902131410; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD BOLS PLAS TRANS X 10.000 ML (22G/44); FRS
509602903136416; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD BOLS PLAS TRANS X 10.000 ML (23G/44); FRS
509602901133411; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 1 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (12G/34); FRS
509602904132414; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (22G/34); FRS
509602907131419; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (24G/34); FRS
509602908138417; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 10.000 ML (22G/44); FRS
509602905139412; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (22G/44); FRS
509602909134415; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 10.000 ML (23G/44); FRS
509602906135410; CPHD COM GLICOSE; CPHD GLICOSE; NOT FOUND; NA 138 + K 2 MEQ/L SOL HD ACD GAL PLAS TRANS X 5.000 ML (23G/44); FRS
509505508155411; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 100 ML; FRS
509505509151418; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PLAS TRANS SIST FECH X 100 ML ; FRS
509505507159411; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML; FRS
509505512152411; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PLAS TRANS SIST FECH X 1000 ML ; FRS
509505513159411; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL IRRIG FR PLAS TANS X 2000 ML; FRS
509505505156415; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML; FRS
509505510151418; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PLAS TRANS SIST FECH X 250 ML; FRS
509505504151411; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 50 ML; FRS
509505506152413; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML; FRS
509505511156413; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 500 ML ; FRS
