509503601158419, FRESOFLOX, FRESOFLOX, NOT FOUND, 2.0 MG/ML SOL INJ CX 24 FR PLAS TRANS SIST FECH X 100 ML , FRS
509503603150415, FRESOFLOX, FRESOFLOX, NOT FOUND, 2.0 MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FEC X 100 ML, FRS
509512020027503, FRESOFLOX, FRESOFLOX, NOT FOUND, 2.0 MG/ML SOL INJ CX FR PLAS TRANS SIST FECH X 200 ML, FRS
509503702159410, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CT FR PLAS TRANS  SIST FECH X 100 ML, FRS
509503703155419, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CX 80 FR PLAS TRANS SIST FECH X 100 ML , FRS
509503704151417, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 100 ML , FRS
509506901152410, FRUTOSE 5%, FRUTOSE 5, NOT FOUND, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML, FRS
509503103158417, FRESOFOL, FRESOFOL, NOT FOUND, 10 MG/ML EMU INJ CT FA VD INC X 100 ML, FRS
509503102151419, FRESOFOL, FRESOFOL, NOT FOUND, 10 MG/ML EMU INJ CT 5 AMP VD INC X 20 ML, FRS
509503104154415, FRESOFOL, FRESOFOL, NOT FOUND, 10 MG/ML EMU INJ CT FA VD INC X 50 ML, FRS
509503101155410, FRESOFOL, FRESOFOL, NOT FOUND, 20 MG/ML EMU INJ CX CT 10 FA VD INC X 50 ML, FRS
