509504003157417, HAES STERIL, HAES STERIL, NOT FOUND, 0.06 G/ML SOL INJ BOLS PVC X 500 ML, FRS
509504004153415, HAES STERIL, HAES STERIL, NOT FOUND, 0.06 G/ML SOL INJ CX FR PLAS TRANS X 500 ML, FRS
509504005151416, HAES STERIL, HAES STERIL, NOT FOUND, 0.06 G/ML SOL INJ CX FR VD INC X 500 ML, FRS
509504001154410, HAES STERIL, HAES STERIL, NOT FOUND, 0.1 G/ML SOL INJ BOLS PVC X 500 ML, FRS
509504002150419, HAES STERIL, HAES STERIL, NOT FOUND, 0.1 G/ML SOL INJ CX FR PLAS TRANS X 500 ML, FRS
509504006156411, HAES STERIL, HAES STERIL, NOT FOUND, 0.1 G/ML SOL INJ CX FR VD INC X 500 ML, FRS
509504102155412, HISOCEL, HISOCEL, NOT FOUND, (35.0 + 8.5 + 0.38 + 0.7) MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML, FRS
509504101159414, HISOCEL, HISOCEL, NOT FOUND, 3.5 PCC SOL INJ CX FR VD INC X 500 ML, FRS
509504201153418, HISOPLEX, HISOPLEX, NOT FOUND, 5 MG+6.4 MG+0.754 MG+0.750 MG+0.310 MG+0.370 MG/ML SOL INJ CT FR PLAS TRANS X 500 ML, FRS
509503201151417, HYPER HAES, HYPER HAES, NOT FOUND, 15 G + 18 G SOL INJ CX BOLSA PVC X 250 ML, FRS
509601301159411, HD 170 BIC AC, HD 170 BIC AC, NOT FOUND, 5000 ML, FRS
509601401153413, HD 170 BIC AC - 8,4% SOL HD BAS, HD 170 BIC AC 8 4 SOL HD BAS, NOT FOUND, NA 138+K 2.0 MEQ/L SOL HD ACD BOMB, FRS
509601701157317, HF 12, HF 12, NOT FOUND, SOL INJ HEMOFIL CX BOLSA PLAS FLEX INC X 5000 ML, FRS
509504003157417, HAES STERIL, HAES STERIL, NOT FOUND, 0.06 G/ML SOL INJ BOLS PVC X 500 ML, FRS
509504004153415, HAES STERIL, HAES STERIL, NOT FOUND, 0.06 G/ML SOL INJ CX FR PLAS TRANS X 500 ML, FRS
509504005151416, HAES STERIL, HAES STERIL, NOT FOUND, 0.06 G/ML SOL INJ CX FR VD INC X 500 ML, FRS
