509501405157417, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025 G/ML + 0.012 G/ML + 0.2 G/ML EMU INJ CT 6 FR VD INC X 100 ML, FRS
509501407151416, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025 G/ML + 0.012 G/ML + 0.2 G/ML EMU INJ CT 6 FR VD INC X 500 ML, FRS
509501406153415, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025 G/ML + 0.012 G/ML + 0.2 G/ML EMU INJ CT FR VD INC X 1000 ML , FRS
509501403154313, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025 G/ML + 0.012G/ML + 0.1 G/ML EMU INJ CT 6 FR VD INC X 100 ML., FRS
509501401151414, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025G/ML + 0.006G/ML + 0.1G/ML EMU INJ CT FR VD INC X 500 ML, FRS
509501404150419, LIPOVENOS, LIPOVENOS, NOT FOUND, 500 ML 10%, FRS
509504501157419, LIPOVENOS MCT, LIPOVENOS MCT, NOT FOUND, 20 PCC FR VD INC X 500 ML (USO RESTRITO A HOSPITAIS), FRS
509505101152418, LIPOVENOS MCT, LIPOVENOS MCT, NOT FOUND, 50 MG/ML + 50 MG/ML + 25 MG/ML FR VD INC X 500 ML, FRS
509504401152415, LIPOVENOS PLR, LIPOVENOS PLR, NOT FOUND, 0.025 G/ML + 0.006G/ML + 0.1G/ML EMU INJ CT FR VD INC X 100 ML, FRS
509501405157417, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025 G/ML + 0.012 G/ML + 0.2 G/ML EMU INJ CT 6 FR VD INC X 100 ML, FRS
509501407151416, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025 G/ML + 0.012 G/ML + 0.2 G/ML EMU INJ CT 6 FR VD INC X 500 ML, FRS
509501406153415, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025 G/ML + 0.012 G/ML + 0.2 G/ML EMU INJ CT FR VD INC X 1000 ML , FRS
509501403154313, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025 G/ML + 0.012G/ML + 0.1 G/ML EMU INJ CT 6 FR VD INC X 100 ML., FRS
509501401151414, LIPOVENOS, LIPOVENOS, NOT FOUND, 0.025G/ML + 0.006G/ML + 0.1G/ML EMU INJ CT FR VD INC X 500 ML, FRS
509501404150419, LIPOVENOS, LIPOVENOS, NOT FOUND, 500 ML 10%, FRS
509504501157419, LIPOVENOS MCT, LIPOVENOS MCT, NOT FOUND, 20 PCC FR VD INC X 500 ML (USO RESTRITO A HOSPITAIS), FRS
509505101152418, LIPOVENOS MCT, LIPOVENOS MCT, NOT FOUND, 50 MG/ML + 50 MG/ML + 25 MG/ML FR VD INC X 500 ML, FRS
