509514090028907, SMOFKABIVEN, SMOFKABIVEN, NOT FOUND, EMUL INJ IV BOLS PLAS INC X 1448 ML SIST FECH  , FRS
509514090029007, SMOFKABIVEN, SMOFKABIVEN, NOT FOUND, EMUL INJ IV BOLS PLAS INC X 1904 ML SIST FECH, FRS
509514090029107, SMOFKABIVEN, SMOFKABIVEN, NOT FOUND, EMUL INJ IV BOLS PLAS INC X 1206 ML SIST FECH , FRS
509514090028507, SMOFKABIVEN, SMOFKABIVEN, NOT FOUND, EMUL INJ IV BOLS PLAS INC X 1477 ML SIST FECH, FRS
509514090028607, SMOFKABIVEN, SMOFKABIVEN, NOT FOUND, EMUL INJ IV BOLS PLAS INC X 1970 ML SIST FECH, FRS
509514090028707, SMOFKABIVEN, SMOFKABIVEN, NOT FOUND, EMUL INJ IV BOLS PLAS INC X 2463 ML SIST FECH, FRS
509514090028807, SMOFKABIVEN, SMOFKABIVEN, NOT FOUND, EMUL INJ IV BOLS PLAS INC X 986 ML SIST FECH , FRS
509513050027804, SMOFKABIVEN LIVRE DE ELETRÓLITOS, SMOFKABIVEN LIVRE ELETROLITOS, NOT FOUND, EMUL INJ IV BOLS PLAS X 1477 ML SIST FECH , FRS
509513050027904, SMOFKABIVEN LIVRE DE ELETRÓLITOS, SMOFKABIVEN LIVRE ELETROLITOS, NOT FOUND, EMUL INJ IV BOLS PLAS X 1970 ML SIST FECH, FRS
509513050028004, SMOFKABIVEN LIVRE DE ELETRÓLITOS, SMOFKABIVEN LIVRE ELETROLITOS, NOT FOUND, EMUL INJ IV BOLS PLAS X 2463 ML SIST FECH, FRS
509513050027704, SMOFKABIVEN LIVRE DE ELETRÓLITOS, SMOFKABIVEN LIVRE ELETROLITOS, NOT FOUND, EMUL INJ IV BOLS PLAS X 986 ML SIST FECH, FRS
509506001178413, SOLUÇÃO P/DIÁLISE PERITONEAL - 7% GLICOSE, SOLUCAO P DIALISE PERITONEAL 7 GLICOSE, NOT FOUND, 70 MG/ML SOL DIA PER CT FR PLAS TRANS X 1000 ML, FRS
