509501117151413, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 1000 ML , FRS
509501115159417, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 250 ML, FRS
509501116155415, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 500 ML , FRS
509505810153416, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML, FRS
509505808159410, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML, FRS
509505809155419, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML, FRS
509505812156412, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 100 ML , FRS
509505815155417, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 1000 ML , FRS
509505813152410, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 250 ML, FRS
509505814159419, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 500 ML, FRS
509501114152419, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 100 ML , FRS
509505806156414, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML , FRS
509505805151419, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML , FRS
509501113156410, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 50 ML, FRS
509505807152412, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML, FRS
509505811151417, GLICOSE, GLICOSE, GLICOSE, 500 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML , FRS
509503901151411, GLYCOPHOS, GLYCOPHOS, NOT FOUND, CAIXA COM 10 FRASCO DE 20, FRS
509501117151413, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 1000 ML , FRS
509501115159417, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 250 ML, FRS
509501116155415, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 500 ML , FRS
509505810153416, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML, FRS
509505808159410, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML, FRS
509505809155419, GLICOSE, GLICOSE, GLICOSE, 100 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML, FRS
509505812156412, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 100 ML , FRS
509505815155417, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 1000 ML , FRS
509505813152410, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 250 ML, FRS
509505814159419, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 500 ML, FRS
509501114152419, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 100 ML , FRS
509505806156414, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 1000 ML , FRS
509505805151419, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 250 ML , FRS
