533800601155318; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML; ZAM
533800615172317; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 11.50 MG/ML SOL NAS CT FR VD AMB X 20 ML + MICRONEBULIZADOR; ZAM
533800605134323; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 120 MG/G GRAN CT 16 ENV AL PE X 5 G; ZAM
533800602135329; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 20 MG/G GRAN CT 16 ENV AL PE X 5 G; ZAM
533800611134321; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP DOSAD SBR FRAMBOESA; ZAM
533800614133318; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 200 MG COM EFEV CT BL AL/AL X 16; ZAM
533800603131327; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 40 MG/G GRAN CT 16 ENV AL PE X 5 G; ZAM
533800612130311; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 40 MG/G GRAN CT 6 ENV AL PE X 5 G; ZAM
533800608133328; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 40 MG/ML XPE CT FR VD AMB X 120ML + CP DOSAD SBR MORANGO C/ ROMA; ZAM
533800616136314; FLUIMUCIL; FLUIMUCIL; NOT FOUND; 600 MG COM EFEV CT BL AL/AL X 16; ZAM
533802602175416; FLUIMARE; FLUIMARE; NOT FOUND; 30 MG/ML SOL NAS CT FR PLAS OPC X 50 ML + MICRO NEBULIZADOR; ZAM
