1364100040031; GAMA ANTI-D GRIFOLS; GAMA ANTI D GRIFOLS; NOT FOUND; 750 UI/ML SOL INJ CX SER PREENCH X 2 ML + AGULHA; GFL
1364100040013; GAMA ANTI-D GRIFOLS; GAMA ANTI D GRIFOLS; NOT FOUND; 1250 UI (250 MCG) LIOF INJ + DIL 2 ML; GFL
1364100040021; GAMA ANTI-D GRIFOLS; GAMA ANTI D GRIFOLS; NOT FOUND; 750 UI/ML SOL INJ CX SER PREENCH X 2 ML; GFL
1364100080015; GAMA ANTI-TÉTANO GRIFOLS; GAMA ANTI TETANO GRIFOLS; NOT FOUND; 250 UI/ML SOL INJ CX SERINGA 1 ML; GFL
1364100080031; GAMA ANTI-TETANO GRIFOLS; GAMA ANTI TETANO GRIFOLS; NOT FOUND; 250 UI/ML SOL. INJ. CX. SERINGA X 1 ML + AGULHA ; GFL
1364100080041; GAMA ANTI-TETANO GRIFOLS; GAMA ANTI TETANO GRIFOLS; NOT FOUND; 250 UI/ML SOL. INJ. CX. SERINGA X 2 ML + AGULHA; GFL
1364100050019; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 1000 UI SOL INJ CX AMP VD INC X 5 ML  ; GFL
1364100050027; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 600 UI SOL INJ CX AMP VD INC X 3 ML ; GFL
1364100050035; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 100 UI SOL INJ CX AMP VD INC X 0.5 ML; GFL
1364100050061; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 100 UI SOL INJ CX AMP VD INC X 0.5 ML + SER + AGU; GFL
1364100050051; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 600 UI SOL INJ CX AMP VD INC X 3 ML  + SER + AGU; GFL
1364100050043; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 1000 UI SOL INJ CX AMP VD INC X 5 ML  + SER + AGU; GFL
1364100060030; GAMAGLOBULINA IM GRIFOLS; GAMAGLOBULINA IM GRIFOLS; NOT FOUND; 320 MG SOL INJ CX AMP VD INC X 2 ML + SER + AGU; GFL
1364100060049; GAMAGLOBULINA IM GRIFOLS; GAMAGLOBULINA IM GRIFOLS; NOT FOUND; 800 MG SOL INJ CX AMP VD INC X 5 ML + SER + AGU; GFL
