1364100090010; FATOR IX; FATOR IX; NOT FOUND; 250 UI PO LIOF INJ CT FA VD INC + DIL X 5 ML; GFL
1364100090037; FATOR IX; FATOR IX; NOT FOUND; 1000 UI PO LIOF INJ CT FA VD INC + DIL X 20 ML ; GFL
1364100090045; FATOR IX; FATOR IX; NOT FOUND; 1500 UI PO LIOF INJ CT FA VD INC + DIL X 30 ML ; GFL
1364100090029; FATOR IX; FATOR IX; NOT FOUND; 500 UI PO LIOF INJ CT FA VD INC + DIL X 10 ML ; GFL
1364100030034; FANHDI; FANHDI; NOT FOUND; 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS; GFL
1364100030018; FANHDI; FANHDI; NOT FOUND; 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS; GFL
1364100030042; FANHDI; FANHDI; NOT FOUND; 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 15 ML + EQUIPO INFUS; GFL
1364100030026; FANHDI; FANHDI; NOT FOUND; 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUSAO; GFL
1364100020012; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 0.5 G SOL INJ FA VD INC X 10 ML; GFL
1364100020047; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 10 G SOL INJ FA VD INC X 200 ML; GFL
1364100020020; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 2.5 G SOL INJ FA VD INC X 50 ML; GFL
1364100020039; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 5.0 G SOL INJ FA VD INC X 100 ML; GFL
1364100020063; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 5.0 G SOL INJ FA 50 ML; GFL
1364100020071; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 10.0 G SOL INJ FA 100 ML; GFL
1364100020081; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 20.0 G SOL INJ FA 200 ML ; GFL
1364100020098; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 0.5 G SOL INJ FA 10ML; GFL
1364100020101; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 2.5 G SOL INJ FA 50 ML; GFL
1364100020111; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 5.0 G SOL INJ FA 100 ML; GFL
1364100020128; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 10 G SOL INJ FA 200 ML ; GFL
1364100020136; FLEBOGAMMA; FLEBOGAMMA; NOT FOUND; 20 G SOL INJ FA 400 ML ; GFL
