1364100010017; ALBUMINA HUMANA GRIFOLS 20%; ALBUMINA HUMANA GRIFOLS 20; NOT FOUND; 0.2 G/ML SOL INJ FA VD INC 10 ML; GFL
1364100010025; ALBUMINA HUMANA GRIFOLS 20%; ALBUMINA HUMANA GRIFOLS 20; NOT FOUND; 0.2G/ML SOL INJ FA VD INC 50ML; GFL
1364100010033; ALBUMINA HUMANA GRIFOLS 20%; ALBUMINA HUMANA GRIFOLS 20; NOT FOUND; 0.2G/ML SOL INJ FA VD INC 100ML; GFL
1364100010041; ALBUMINA HUMANA GRIFOLS; ALBUMINA HUMANA GRIFOLS; NOT FOUND; 0.05G/ML SOL INJ FA VD INC 100ML ; GFL
1364100010051; ALBUMINA HUMANA GRIFOLS; ALBUMINA HUMANA GRIFOLS; NOT FOUND; 0.05G/ML SOL INJ FA VD INC 250ML; GFL
1364100010068; ALBUMINA HUMANA GRIFOLS; ALBUMINA HUMANA GRIFOLS; NOT FOUND; 0.05G/ML SOL INJ FA VD INC 500ML; GFL
1364100070011; ANTITROMBINA III GRIFOLS; ANTITROMBINA III GRIFOLS; NOT FOUND; 1000 UI LIOF INJ + DIL FR 20 ML; GFL
1364100070028; ANTITROMBINA III GRIFOLS; ANTITROMBINA III GRIFOLS; NOT FOUND; 500 UI LIOF INJ + DIL FR 10 ML; GFL
1364100140042; ALPHANATE; ALPHANATE; NOT FOUND; 250 UI PO LIOF INJ CX FA VD INC + SER DIL X 5 ML + EQUIPO INFUS  ; GFL
1364100140034; ALPHANATE; ALPHANATE; NOT FOUND; 500 UI PO LIOF INJ CX FA VD INC + SER DIL X 5 ML + EQUIPO INFUS ; GFL
1364100140026; ALPHANATE; ALPHANATE; NOT FOUND; 1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS ; GFL
1364100140018; ALPHANATE; ALPHANATE; NOT FOUND; 1500 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS ; GFL
