503400302167412; BACINA; BACINA; NOT FOUND; 5 MG + 250 UI/G POM DERM CT BG AL X 10 G; BLF
503400301160414; BACINA; BACINA; NOT FOUND; 5 MG + 250 UI/G POM DERM CT BG AL X 15 G; BLF
503401501163415; BETACORTAZOL; BETACORTAZOL; NOT FOUND; 20MG+0.5MG+2.5MG CREM DERM CT BG AL X 30 G; BLF
503406501110411; BELPIDEX; BELPIDEX; NOT FOUND; 5 MG + 60 MG COM REV CT BL AL PLAS INC X 20; BLF
503401201119410; BELSCOPAN; BELSCOPAN; NOT FOUND; 10.0 MG COM REV CX 2 BL AL PLAS INC X 10; BLF
503401302136418; BELSPAN; BELSPAN; NOT FOUND; 333.4 MG + 6.67 MG / ML SOL OR CT FR VD CGT X 20 ML; BLF
503412090015203; BELSPAN; BELSPAN; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 1000 (EMB MULT); BLF
503401301113414; BELSPAN; BELSPAN; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 20; BLF
503412090015403; BELSPAN; BELSPAN; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 200 (EMB MULT); BLF
503412090015303; BELSPAN; BELSPAN; NOT FOUND; 250 MG + 10 MG COM REV CT BL AL PLAS INC X 500 (EMB MULT); BLF
503401303132416; BELSPAN; BELSPAN; NOT FOUND; 333.4 MG/ML + 6.67 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML; BLF
503401403137411; BESODIN; BESODIN; NOT FOUND; 300MG + 50MG + 30MG/ML SOL OR CT FR VD AMB X 15 ML; BLF
503401402114416; BESODIN; BESODIN; NOT FOUND; 300MG + 30MG + 30MG DRG CT BL AL PLAS AMB X 20; BLF
503413080015803; BESODIN; BESODIN; NOT FOUND; 300MG + 30MG + 30MG DRG CT BL AL PLAS INC X 20; BLF
503401401118418; BESODIN; BESODIN; NOT FOUND; 300MG + 30MG + 30MG DRG CT BL AL PLAS AMB X 200 ; BLF
503413080015903; BESODIN; BESODIN; NOT FOUND; 300MG + 30MG + 30MG DRG CT BL AL PLAS INC X 200 ; BLF
503400501135413; BELCOMPLEX; BELCOMPLEX; NOT FOUND; FRS. C/100 XPE.; BLF
503400502131411; BELCOMPLEX; BELCOMPLEX; NOT FOUND; FRS. C/30 ML GOTAS; BLF
503400503111414; BELCOMPLEX; BELCOMPLEX; NOT FOUND; FRS. C/50 DRGS.; BLF
503401001160425; BELGLOS; BELGLOS; NOT FOUND; BGS. C/20 GRS. POM.; BLF
503400901117412; BELFAREN; BELFAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; BLF
503401101114417; BELMIRAX; BELMIRAX; NOT FOUND; 100 MG COM CT BL AL PLAS AMB X 6; BLF
503401102137410; BELMIRAX; BELMIRAX; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; BLF
503401103133419; BELMIRAX; BELMIRAX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS AMB X 30 ML; BLF
503400701118415; BELFACTRIM; BELFACTRIM; NOT FOUND; 800 MG + 160 MG COM CT  BL AL PLAS AMB X 10; BLF
503412030014503; BELFACTRIM; BELFACTRIM; NOT FOUND; 400 MG + 80 MG COM CT BL AL PLAS AMB X 20; BLF
503400902164414; BELFAREN; BELFAREN; NOT FOUND; 10 MG/G GEL TOP CT BG AL X 60 G; BLF
