1096800780035; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G ; KIN
1096800780019; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 5 G ; KIN
1096800010086; AMOXIBRON; AMOXIBRON; NOT FOUND; 250 MG/5ML PO PREP EXTEMP CT 1 FR VD AMB X 60 ML; KIN
1096800010035; AMOXIBRON; AMOXIBRON; NOT FOUND; 250 MG/5ML PO PREP EXTEMP CT 01 FR VD AMB X 150 ML; KIN
1096800010051; AMOXIBRON; AMOXIBRON; NOT FOUND; 500 MG CAP GEL DURA CT 02 BL AL PLAS INC X 06; KIN
1096800010078; AMOXIBRON; AMOXIBRON; NOT FOUND; 500 MG CAP GEL DURA CT 01 BL AL PLAS INC X 21; KIN
1096800650077; ATENOKIN; ATENOKIN; NOT FOUND; 100 MG COM CT  BL AL PLAS INC X 30; KIN
1096800650107; ATENOKIN; ATENOKIN; NOT FOUND; 25 MG/COMP CX C/1 BL C/30; KIN
1096800650042; ATENOKIN; ATENOKIN; NOT FOUND; 50 MG/COMP CX C/2 BL C/15; KIN
1096800510054; ANALGESIL; ANALGESIL; NOT FOUND; 500MG/ML (CX C/ 1 FRASCO C/ 10ML)- DIPIRONA GOTAS; KIN
1096800510038; ANALGESIL; ANALGESIL; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS GOT OPC X 20 ML; KIN
1096800510135; ANALGESIL; ANALGESIL; NOT FOUND; 500MG / CP (CX C/ 20 BL C/ 10 ) - DIPIRONA; KIN
