511214090028803; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML; H_I
511214090028903; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML; H_I
511214090029003; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML; H_I
511214090029103; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; H_I
511214090029203; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML; H_I
511214090029303; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML; H_I
511214090029403; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML; H_I
511214090029503; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML; H_I
511214090029603; RINGER; RINGER; NOT FOUND; 8.6 + 0.3 + 0.33 MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 1000 ML; H_I
511203801153412; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML; H_I
511203704158413; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML; H_I
511203705154411; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML; H_I
511203707157418; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML ; H_I
511203708153416; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML; H_I
511203706150411; RINGER; RINGER; NOT FOUND; (8.6 + 0.3 + 0.33)MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
511204201151417; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML; H_I
511204004151414; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML ; H_I
511205902151411; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML ; H_I
511204005156411; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML; H_I
511205901155413; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML; H_I
511205903158411; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML; H_I
511214090024203; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML    ; H_I
511214090024303; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 250 ML ; H_I
511214090024403; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 250 ML ; H_I
511214090024503; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML    ; H_I
511214090024603; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 500 ML ; H_I
511214090024703; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20)MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 500 ML ; H_I
511214090024803; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML    ; H_I
511214090024903; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PE TRANS SIST FECH X 1000 ML   ; H_I
511214090025003; RINGER COM LACTATO; RINGER LACTATO; NOT FOUND; (6.00+0.30+0.20+3.20) MG/ML SOL INJ IV BOLS PVC TRANS SIST FECH X 1000 ML  ; H_I
