527314050013203; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050013303; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050013403; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050013503; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050013603; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050013703; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050013803; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050013903; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050014003; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050014103; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050014203; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527314050014303; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527313080011714; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527313120012103; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
537700302159317; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
527313080011214; PEGINTRON; PEGINTRON; NOT FOUND; 118.4 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
537700301152319; PEGINTRON; PEGINTRON; NOT FOUND; 118.4 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
