505204301117412; GEROTREX H3; GEROTREX H3; NOT FOUND; FR 30 DRG; NO_ACR
505204302113410; GEROTREX H3; GEROTREX H3; NOT FOUND; FR 50 DRG; NO_ACR
519508802159418; GONADOPIN; GONADOPIN; NOT FOUND; 150 UI/ML SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
519508803155416; GONADOPIN; GONADOPIN; NOT FOUND; 150 UI/ML SOL INJ CT 5 FA VD INC X 1 ML; NO_ACR
519508804151414; GONADOPIN; GONADOPIN; NOT FOUND; 150 UI/ML SOL INJ CT 1 FA VD INC X 1 ML; NO_ACR
519508801152411; GONADOPIN; GONADOPIN; NOT FOUND; 75 UI/ML SOL INJ CT 1 FA VD INC X 1 ML; NO_ACR
519508805158412; GONADOPIN; GONADOPIN; NOT FOUND; 75 UI/ML SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
519508806154410; GONADOPIN; GONADOPIN; NOT FOUND; 75 UI/ML SOL INJ CT 5 FA VD INC X 1 ML; NO_ACR
513901201115411; GRIPOL; GRIPOL; NOT FOUND; CX COM 2 BL X 10 DRG A E B; NO_ACR
513901203118418; GRIPOL; GRIPOL; NOT FOUND; DISPLAY CX COM BL 25 X 4; NO_ACR
513901204114416; GRIPOL; GRIPOL; NOT FOUND; DISPLAY CX COM BL 25X 10; NO_ACR
513901202138415; GRIPOL; GRIPOL; NOT FOUND; CX FR COM 60 ML; NO_ACR
528101202131411; GASTROFTAL; GASTROFTAL; NOT FOUND; (35.6 + 37 + 47.6) MG/ML SUS OR CT FR PLAS AMB X 240 ML; NO_ACR
528112060013703; GASTROFTAL; GASTROFTAL; NOT FOUND; (178 + 185 + 230) MG COM MAST CT BL AL PLAS INC X 20 ; NO_ACR
528101201119418; GASTROFTAL; GASTROFTAL; NOT FOUND; (178 + 185 + 230) MG COM MAST CT BL AL PLAS INC X 30 ; NO_ACR
528112070014204; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 100 (SABOR ABACAXI); NO_ACR
528112070014304; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 100 (SABOR LIMAO); NO_ACR
528112070014404; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 100 (SABOR LARANJA); NO_ACR
528112070014504; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 25 (SABOR ABACAXI); NO_ACR
528112070014604; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 25  (SABOR LARANJA) ; NO_ACR
528112070014704; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 25(SABOR LIMAO) ; NO_ACR
528112070014804; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 50(SABOR ABACAXI); NO_ACR
528112070014904; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 50(SABOR LIMAO); NO_ACR
528112070015004; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 50 (SABOR LARANJA); NO_ACR
540900901110411; GURGOL; GURGOL; NOT FOUND; 1.25 MG PAST CX STR X 100 (EMB MULT); NO_ACR
507601301152317; GEMZAR; GEMZAR; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC X 50 ML; NO_ACR
519513100022504; GENCIX; GENCIX; NOT FOUND; 1 G PO LIOF SOL INJ CT FA VD TRANS X 50 ML; NO_ACR
519513100022604; GENCIX; GENCIX; NOT FOUND; 1 G PO LIOF SOL INJ CT 5 FA VD TRANS X 50 ML; NO_ACR
519513100022704; GENCIX; GENCIX; NOT FOUND; 1 G PO LIOF SOL INJ CT 10 FA VD TRANS X 50 ML; NO_ACR
507601302159315; GEMZAR; GEMZAR; NOT FOUND; 200 MG PO LIOF INJ CT FA VD INC X 10 ML; NO_ACR
519513100022204; GENCIX; GENCIX; NOT FOUND; 200 MG PO LIOF SOL INJ CT FA VD TRANS X 10 ML; NO_ACR
519513100022304; GENCIX; GENCIX; NOT FOUND; 200 MG PO LIOF SOL INJ CT 5 FA VD TRANS X 10 ML; NO_ACR
519513100022404; GENCIX; GENCIX; NOT FOUND; 200 MG PO LIOF SOL INJ CT 10 FA VD TRANS X 10 ML; NO_ACR
505204201163412; GELFLEX; GELFLEX; NOT FOUND; POM DERM CT BG X 45 G; NO_ACR
527301601112310; GRACIAL; GRACIAL; NOT FOUND; 0.125/0.030 MG 15 COM BRANCOS + 0.025/0.040 MG 7 COM AZUIS CT BL AL PLAS INC X 22; NO_ACR
502402401164412; GYNAX N; GYNAX N; NOT FOUND; 60 MG/G + 0.064 MG/G + 20.000 UI + 10 MG/G + 2 MG/G + 0.40 MG/G CREM VAG CT 10 APLIC DESCART PRE-ENVASADO X 5G; NO_ACR
502402402160410; GYNAX N; GYNAX N; NOT FOUND; 60 MG/G + 0.064 MG/G + 20.000 UI + 10 MG/G + 2 MG/G + 0.40 MG/G CREM VAG CT BG AL X 60 G + 1 APLIC; NO_ACR
502402403167419; GYNAX N; GYNAX N; NOT FOUND; 60 MG/G + 0.064 MG/G + 20.000 UI + 10 MG/G + 2 MG/G + 0.40 MG/G CREM VAG CT BG AL X 60 G + 10 APLIC; NO_ACR
505204101118415; GASTROFLAT MAX; GASTROFLAT MAX; NOT FOUND; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; NO_ACR
505204001113411; GASTROFLAT; GASTROFLAT; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; NO_ACR
505204002136415; GASTROFLAT; GASTROFLAT; NOT FOUND; 75 MG/ML EMU OR CT FR PLAS OPC CGT X 10 ML; NO_ACR
515106704133410; GASTROBION; GASTROBION; NOT FOUND; 37 MG +40 MG + 5 MG/ML SUS OR CT FR PLAS OPC X 240 ML; NO_ACR
505204801152411; GRIPONIA INJETÁVEL A & B; GRIPONIA INJETAVEL A B; NOT FOUND; CX 50 A & 50 B; NO_ACR
505204701115417; GRIPONIA; GRIPONIA; NOT FOUND; CX 20 DRG; NO_ACR
516300602136411; GOTAS BINELLI; GOTAS BINELLI; NOT FOUND; 30 MG/ML SOL ORAL CT FR PLAS OPC GOT X 10 ML; NO_ACR
522710802113117; GESTODENO + ETINILESTRADIOL; GESTODENO ETINILESTRADIOL; NOT FOUND; 0.060MG + 0.0015MG COM REV CT BL AL PLAS INC X 24; NO_ACR
