505208801114415; VIETA; VIETA; NOT FOUND; CX 30 CAPS; NO_ACR
505606701111413; VIROTIN; VIROTIN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25  ; NO_ACR
505606702116419; VIROTIN; VIROTIN; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 70   ; NO_ACR
510612202118211; VOLIBRIS; VOLIBRIS; NOT FOUND; 10 MG COM REV CT BL AL PVC X 30; NO_ACR
510612201111211; VOLIBRIS; VOLIBRIS; NOT FOUND;  5 MG COM REV CT BL AL PVC X 30; NO_ACR
533200701159317; VIDAZA; VIDAZA; NOT FOUND; 100MG/200MG PO LIOF SUS INJ SC FA VD INC X 200MG; NO_ACR
525505001117219; VICTRELIS; VICTRELIS; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS INC X 336; NO_ACR
505209001170416; VISIPLEX; VISIPLEX; NOT FOUND; 0.15 MG/ML + 0.3 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML; NO_ACR
522710601150317; VACINA PNEUMOCÓCICA 13 - VALENTE (CONJUGADA); VACINA PNEUMOCOCICA 13 VALENTE CONJUGADA; NOT FOUND; SUS INJ CT 02 EST 05 SER PREENCH X 0.5 ML + 10 AGU; NO_ACR
522710602157315; VACINA PNEUMOCÓCICA 13 - VALENTE (CONJUGADA); VACINA PNEUMOCOCICA 13 VALENTE CONJUGADA; NOT FOUND; SUS INJ CT 01 EST 01 SER PREENCH X 0.5 ML + 01 AGU; NO_ACR
505209104115418; VITATONUS; VITATONUS; NOT FOUND; DRG CX CT 1 BL X 20; NO_ACR
505209101159414; VITATONUS; VITATONUS; NOT FOUND; CX 2 AMP (2 M/1ML) DEXA; NO_ACR
505209103151410; VITATONUS; VITATONUS; NOT FOUND; 5000 MCG SOL INJ CX 3 AMP VD INC X 2 ML; NO_ACR
505209102112411; VITATONUS; VITATONUS; NOT FOUND; 5000 MCG DRG CT BL AL PLAS INC X 20; NO_ACR
521113301116416; VASOGARD; VASOGARD; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; NO_ACR
521113302112414; VASOGARD; VASOGARD; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 60; NO_ACR
521113305111419; VASOGARD; VASOGARD; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 7; NO_ACR
521113303119412; VASOGARD; VASOGARD; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; NO_ACR
521113304115410; VASOGARD; VASOGARD; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 60; NO_ACR
521113306118417; VASOGARD; VASOGARD; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 7; NO_ACR
521602402136419; VITONIL; VITONIL; NOT FOUND; SOLUCAO CX. FR. VD. 500ML; NO_ACR
521126501161115; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG /G + 1.0 MG /G + 10.0 MG /G + 10.0 MG/G CREM DERM CT BG AL X 20G; NO_ACR
521112070056406; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 20 G ; NO_ACR
505208901178415; VISALMIN; VISALMIN; NOT FOUND; 5 MG/ML SOL OFT CT FR PLAS GOT X 10ML; NO_ACR
510612301116215; VOTRIENT; VOTRIENT; NOT FOUND; 200 MG COM REV CT FR PLAS OPC X 30; NO_ACR
510612302112213; VOTRIENT; VOTRIENT; NOT FOUND; 200 MG COM REV CT FR PLAS OPC X 90; NO_ACR
510612303119211; VOTRIENT; VOTRIENT; NOT FOUND; 400 MG COM REV CT FR PLAS OPC X 30; NO_ACR
510612304115211; VOTRIENT; VOTRIENT; NOT FOUND; 400 MG COM REV CT FR PLAS OPC X 60; NO_ACR
501300601158310; VANCOCINA CP; VANCOCINA CP; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC; NO_ACR
501312010017403; VANCOCINA CP; VANCOCINA CP; NOT FOUND; 1 G PO LIOF INJ CX 25 FA VD INC; NO_ACR
501300602154319; VANCOCINA CP; VANCOCINA CP; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC; NO_ACR
