514504601115316; STUGERON; STUGERON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; J_C
514504602111314; STUGERON; STUGERON; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; J_C
514504705158313; SUFENTA; SUFENTA; NOT FOUND; 5 MCG/ML SOL INJ CX 5 AMP VD INC X 2 ML; J_C
514504702159319; SUFENTA; SUFENTA; NOT FOUND; 50 MCG/ML SOL INJ CX 5 AMP VD INC X 1 ML; J_C
514504703155317; SUFENTA; SUFENTA; NOT FOUND; 50 MCG/ML SOL  INJ CX 5 AMP VD INC X 5 ML; J_C
514504806175418; SYSTEN; SYSTEN; NOT FOUND; 3.2 MG ADS CT 4 ENV X 1 / 3.2 MG + 11.2 MG ADS CT 4 ENV X 1; J_C
514504805179411; SYSTEN; SYSTEN; NOT FOUND; 3.2 MG + 11.2 MG ADS TRANSD CT 8 SACH X 1; J_C
514504802171418; SYSTEN; SYSTEN; NOT FOUND; 1.6 MG ADS TRANSD CT X 8 SACHE X 1; J_C
514504803176413; SYSTEN; SYSTEN; NOT FOUND; 3.2 MG ADES TRANSD CT X 8 SACHE X 1; J_C
514504801173417; SYSTEN; SYSTEN; NOT FOUND; 6.4 MG ADES TRANSD CT X 8 SACHE X 1; J_C
514513070026712; SIMPONI; SIMPONI; NOT FOUND; 50 MG SOL INJ CT 1 SER PREENC X 0.5 ML; J_C
514513070026812; SIMPONI; SIMPONI; NOT FOUND; 50 MG SOL INJ CT 1 SER PREENC X 0.5 ML ACOPLADA EM CAN APLIC; J_C
514504501110312; SPORANOX; SPORANOX; NOT FOUND; 100 MG CAP GEL CT BL AL PLAS INC X 10; J_C
514504502117310; SPORANOX; SPORANOX; NOT FOUND; 100 MG CAP GEL CT BL AL PLAS INC X 15; J_C
514504504111311; SPORANOX; SPORANOX; NOT FOUND; 100 MG CAP GEL CT 7 BL AL PLAS INC X 4; J_C
514504503113319; SPORANOX; SPORANOX; NOT FOUND; 100 MG CAP GEL CT BL AL PLAS INC X 4; J_C
514507901152211; STELARA; STELARA; NOT FOUND; 45 MG SOL INJ CT 1 FA VD INC X 0.5 ML ; J_C
