514514110027102; INVOKANA; INVOKANA; NOT FOUND; 100 MG COM REV OR CT BL AL PLAS TRANS X 10 ; J_C
514514110027202; INVOKANA; INVOKANA; NOT FOUND; 100 MG COM REV OR CT BL AL PLAS TRANS X 30; J_C
514514110027302; INVOKANA; INVOKANA; NOT FOUND; 300 MG COM REV OR CT BL AL PLAS TRANS X 10; J_C
514514110027402; INVOKANA; INVOKANA; NOT FOUND; 300 MG COM REV OR CT BL AL PLAS TRANS X 30; J_C
514514070026903; INTELENCE; INTELENCE; NOT FOUND; 200 MG COM CT FR PLAS OPC X 60; J_C
514507601116211; INTELENCE; INTELENCE; NOT FOUND; 100 MG COM CT FR PLAS OPC X 120; J_C
514508402151412; INVEGA SUSTENNA; INVEGA SUSTENNA; NOT FOUND; 100 MG/ML SUS INJ LIB PROL CT 1 SER PRENC X 0.25 ML; J_C
514508403156418; INVEGA SUSTENNA; INVEGA SUSTENNA; NOT FOUND; 100 MG/ML SUS INJ LIB PROL CT 1 SER PRENC X 0.50 ML; J_C
514508401153411; INVEGA SUSTENNA; INVEGA SUSTENNA; NOT FOUND; 100 MG/ML SUS INJ LIB PROL CT 1 SER PRENC X 0.75 ML; J_C
514508404152416; INVEGA SUSTENNA; INVEGA SUSTENNA; NOT FOUND; 100 MG/ML SUS INJ LIB PROL CT 1 SER PRENC X 1.00 ML; J_C
514508405159414; INVEGA SUSTENNA; INVEGA SUSTENNA; NOT FOUND; 100 MG/ML SUS INJ LIB PROL CT 1 SER PRENC X 1.50 ML; J_C
514506901116314; INVEGA; INVEGA; NOT FOUND; 12.0 MG COM REV LIB PROL CT BL AL PLAS INC X 28; J_C
514506902112312; INVEGA; INVEGA; NOT FOUND; 12.0 MG COM REV LIB PROL CT BL AL/AL X 7; J_C
514506903119310; INVEGA; INVEGA; NOT FOUND; 3.0 MG COM REV LIB PROL CT BL AL PLAS INC X 28; J_C
514506904115319; INVEGA; INVEGA; NOT FOUND; 3.0 MG COM REV LIB PROL CT BL AL PLAS INC X 7 ; J_C
514506905111317; INVEGA; INVEGA; NOT FOUND; 6.0 MG COM REV LIB PROL CT BL AL PLAS INC X 28; J_C
514506906118315; INVEGA; INVEGA; NOT FOUND; 6.0 MG COM REV LIB PROL CT BL AL PLAS INC X 7 ; J_C
514506907114313; INVEGA; INVEGA; NOT FOUND; 9.0 MG COM REV LIB PROL CT BL AL PLAS INC X 28; J_C
514506908110311; INVEGA; INVEGA; NOT FOUND; 9.0 MG COM REV LIB PROL CT BL AL PLAS INC X 7 ; J_C
514508501115211; INCIVO; INCIVO; NOT FOUND; 375 MG COM REV CT FR PLAS OPC X 168; J_C
