510913010003503; GAMA ANTI-D GRIFOLS; GAMA ANTI D GRIFOLS; NOT FOUND; 750 UI/ML SOL INJ CX SER PREENCH X 2 ML + AGULHA; GFL
510912050002403; GAMA ANTI-TETANO GRIFOLS; GAMA ANTI TETANO GRIFOLS; NOT FOUND; 250 UI/ML SOL. INJ. CX. SERINGA X 1 ML + AGULHA ; GFL
510912050002503; GAMA ANTI-TETANO GRIFOLS; GAMA ANTI TETANO GRIFOLS; NOT FOUND; 250 UI/ML SOL. INJ. CX. SERINGA X 2 ML + AGULHA; GFL
510900503156418; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 100 UI SOL INJ CX AMP VD INC X 0.5 ML; GFL
510913010003603; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 100 UI SOL INJ CX AMP VD INC X 0.5 ML + SER + AGU; GFL
510900502151412; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 600 UI SOL INJ CX AMP VD INC X 3 ML ; GFL
510913010003703; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 600 UI SOL INJ CX AMP VD INC X 3 ML  + SER + AGU; GFL
510900501153411; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 1000 UI SOL INJ CX AMP VD INC X 5 ML  ; GFL
510913010003803; GAMA ANTI-HEPATITE B GRIFOLS; GAMA ANTI HEPATITE B GRIFOLS; NOT FOUND; 1000 UI SOL INJ CX AMP VD INC X 5 ML  + SER + AGU; GFL
510913120004203; GAMAGLOBULINA IM GRIFOLS; GAMAGLOBULINA IM GRIFOLS; NOT FOUND; 320 MG SOL INJ CX AMP VD INC X 2 ML + SER + AGU; GFL
510913120004303; GAMAGLOBULINA IM GRIFOLS; GAMAGLOBULINA IM GRIFOLS; NOT FOUND; 800 MG SOL INJ CX AMP VD INC X 5 ML + SER + AGU; GFL
