537112020008006; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CT FR PET AMB X 100 ML + CP MED; M1L
537112020008206; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CX 48 FR PET AMB X 100 ML + 48 CP MED (EMB HOSP); M1L
537112020008306; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 96 FR PET AMB X 100 ML + 96 CP MED (EMB HOSP); M1L
537112020008106; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CT FR PET AMB X 120 ML + CP MED ; M1L
537112020008406; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4MG/ML SOL OR CX 48 FR PET AMB X 120 ML + 48 CP MED (EMB HOSP); M1L
537112020008506; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CX 96 FR PET AMB X 120 ML + 96 CP MED (EMB HOSP) ; M1L
537100901132116; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 48 FR PLAS OPC X 30 ML + 48 CP MED (EMB HOSP); M1L
537100902139114; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT 48 FR PLAS AMB X 30 ML + 48 CP MED (EMB HOSP); M1L
537100903135112; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT 96 FR PLAS AMB X 30 ML + 96 CP MED (EMB HOSP); M1L
537100904131110; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR PLAS AMB X 30 ML + CP MED ; M1L
537100905138119; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 100 FR PLAS OPC X 30 ML + 100 CP MED (EMB HOSP); M1L
537100906134117; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 30 ML + 50 CP MED (EMB HOSP); M1L
537100907130115; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 96 FR PLAS OPC X 30 ML + 96 CP MED (EMB HOSP); M1L
