520718503119411; SEDILAX; SEDILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 15; TTB
520718502112411; SEDILAX; SEDILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 200 (EMB HOSP); TTB
520718501116413; SEDILAX; SEDILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 30; TTB
520718504115418; SEDILAX; SEDILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS LARANJA X 4; TTB
520712080082903; SEDALEX; SEDALEX; NOT FOUND; 300 MG/ML + 50 MG/ML + 35 MG/ML SOL OR CT FR GOT VD AMB X 20 ML; TTB
520718301117416; SEDALEX; SEDALEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT 50 BL AL PLAS INC X 4; TTB
520718303111415; SEDALEX; SEDALEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 240; TTB
520718304116410; SEDALEX; SEDALEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 30; TTB
520713070088103; SEDALGINA; SEDALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAST INC X 30; TTB
520712080083603; SEDALGINA; SEDALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS TRANS X 60; TTB
520718401111411; SEDALGINA; SEDALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAST INC X 20; TTB
520718402118418; SEDALGINA; SEDALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAST INC X 200 (EMB MULT); TTB
520718601171416; SOROLIV; SOROLIV; NOT FOUND; 9 MG/ML + 0.1 MG/ML SOL NAS CT FR PLAS OPC + NEB X 30 ML ; TTB
520718602176411; SOROLIV; SOROLIV; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML  ; TTB
520729201178419; SOROLIV ADULTO; SOROLIV ADULTO; NOT FOUND; 0.5 MG/ML + 0.1 MG/ML + 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; TTB
520732201175411; SOROLIV HIPERTÔNICO; SOROLIV HIPERTONICO; NOT FOUND; 30 MG/ML SOL NAS CT FR PLAS AMB SPR X 60 ML; TTB
520726501138116; SIMETICONA + METILBROMETO DE HOMATROPINA; SIMETICONA METILBROMETO HOMATROPINA; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 20 ML; TTB
520718701115429; STRESSAN; STRESSAN; NOT FOUND; COM REV CT FR PLAS OPC X 30; TTB
520725901116111; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 1000 MG COM CT BL AL PLAS INC X 2; TTB
520725902112111; SECNIDAZOL; SECNIDAZOL; SECNIDAZOL; 1000 MG COM CT BL AL PLAS INC X 4; TTB
520712040081406; SIMETICONA; SIMETICONA; SIMETICONA; 125MG CAP GEL MOLE CT BL AL PLAS INC X 10; TTB
520712040081506; SIMETICONA; SIMETICONA; SIMETICONA; 125MG CAP GEL MOLE CT BL AL PLAS INC X 90; TTB
520713100088906; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS TRANS X 100 (EMB MULT); TTB
520729002116111; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
520729001111116; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; TTB
520718804135112; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CT FR PLAS AMB X 100 ML + CP MED; TTB
520718805131110; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP); TTB
