520711002130421; FLUITOSS; FLUITOSS; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML; TTB
520713090088403; FLUITOSS; FLUITOSS; NOT FOUND; 20 MG/ML XPE CT FR PLAS AMB X 100 ML + COP; TTB
520711001134423; FLUITOSS; FLUITOSS; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML; TTB
520713090088503; FLUITOSS; FLUITOSS; NOT FOUND; 50 MG/ML XPE CT FR PLAS AMB X 100 ML + COP; TTB
520710204139413; FENAFLAN; FENAFLAN; NOT FOUND; 15 MG/ML  SUS OR CT FR PLAS OPC GOT X 15 ML; TTB
520710201113413; FENAFLAN; FENAFLAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 10; TTB
520712060081703; FENAFLAN; FENAFLAN; NOT FOUND; 11.6 MG/G GEL CT BG AL X 30 G ; TTB
520710301118417; FENAFLAN D; FENAFLAN D; NOT FOUND; 50 MG COM DISP CT BL AL PLAS INC X 20; TTB
520712050081603; FENAFLAN D; FENAFLAN D; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; TTB
520710701116411; FLANAREN; FLANAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; TTB
520710803131411; FLEXTOSS; FLEXTOSS; NOT FOUND; 1.5 MG/ML XPE FR VD AMB X 60 ML; TTB
520713010086703; FLEXTOSS; FLEXTOSS; NOT FOUND; 1.5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP; TTB
520710802133419; FLEXTOSS; FLEXTOSS; NOT FOUND; 3 MG/ML XPE CT FR VD AMB X 100 ML; TTB
520713010086803; FLEXTOSS; FLEXTOSS; NOT FOUND; 3 MG/ML XPE CT FR PLAS AMB X 100 ML + COP; TTB
520710801137410; FLEXTOSS; FLEXTOSS; NOT FOUND; 30 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; TTB
520725701117114; FENITOÍNA; FENITOINA; FENITOINA; 100 MG COM CT BL AL PLAS LAR X 100 (EMB HOSP); TTB
520725702113112; FENITOÍNA; FENITOINA; FENITOINA; 100 MG COM CT BL AL PLAS LAR X 30; TTB
520727701157112; FENITOÍNA SÓDICA; FENITOINA SODICA; FENITOINA SODICA; 50 MG/ML SOL INJ CT 72 AMP VD INC X 5 ML (EMB HOSP); TTB
520727102113118; FENOBARBITAL; FENOBARBITAL; FENOBARBITAL; 100 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); TTB
520727101117111; FENOBARBITAL; FENOBARBITAL; FENOBARBITAL; 100 MG COM CT BL AL PLAS INC X 30; TTB
520722301118119; FENOXIMETILPENICILINA POTÁSSICA; FENOXIMETILPENICILINA POTASSICA; FENOXIMETILPENICILINA POTASSICA; 500000 UI COM CT ENV AL X 12; TTB
520714010090306; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL AL  X 30; TTB
520714010090406; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL AL  X 60; TTB
520731501116119; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS OPC X 30; TTB
520731901114415; FINARID; FINARID; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; TTB
520710901115117; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; TTB
520710902111417; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB FRAC); TTB
520710903118113; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; TTB
520710904114111; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); TTB
520711201151119; FOSFATO DISSODICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 2.0 MG /ML SOL INJ CT FA VD INC X 1 ML; TTB
520711202156114; FOSFATO DISSODICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4.0 MG/ML SOL INJ CT FA VD INC X 2.5 ML; TTB
520712110085506; FOSFATO DISSODICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4.0 MG/ML SOL INJ CT 6 AMP VD AMB X 2.5 ML; TTB
520712110085606; FOSFATO DISSODICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4.0 MG/ML SOL INJ CX 120 AMP VD AMB X 2.5 ML (EMB HOSP) ; TTB
520726201150110; FOSFATO DISSÓDICO DE DEXAMETASONA; FOSFATO DISSODICO DEXAMETASONA; NOT FOUND; 4.0 MG/ML SOL INJ CX 100 FA VD INC X 2.5 ML (EMB HOSP); TTB
520712080083006; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2MG/ML XPE CT FR PLAS AMB X 120ML + COP ; TTB
520727001139111; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; TTB
520711301154111; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 10 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML; TTB
520711302150118; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 10 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP) ; TTB
520711306156110; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 10 MG/ML SOL INJ CT 60 AMP VD AMB X 2 ML (EMB HOSP)  ; TTB
520711303114115; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PVDC LEIT X 100 (EMB HOSP); TTB
520711101112413; FLUXIL; FLUXIL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20 ; TTB
520711304110113; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PVDC LEIT X 20; TTB
520712100084606; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PLAS PVC OPC X 20; TTB
520714010089806; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PVC OPC X 28; TTB
520714010089906; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PVC OPC X 280 (EMB HOSP); TTB
520714010090006; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PVC OPC X 28; TTB
520714010090106; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PVC OPC X 280 (EMB HOSP); TTB
520714010089606; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PVDC OPC X 14 ; TTB
520714010089506; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PVDC OPC X 28; TTB
520714010089706; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PVC OPC X 280 (EMB HOSP); TTB
520722401112414; FUNGONAX; FUNGONAX; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; TTB
520722402119412; FUNGONAX; FUNGONAX; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 ; TTB
520710601111418; FERRONIL; FERRONIL; NOT FOUND; 40 MG COM REV CT BL AL PVDC INC X 50; TTB
