520712070082606; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED; TTB
520723901135111; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120ML ; TTB
520712070082506; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED; TTB
520723902131118; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120ML ; TTB
520728501161114; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G; TTB
520728502166111; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP); TTB
520728503162118; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP); TTB
520729802163114; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG AL X 15 G ; TTB
520729801167116; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); TTB
520729803161115; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG AL X 30 G ; TTB
520712120085806; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20MG/ML XPE CT FR VD AMB X 120ML + COP MED ; TTB
520712120085906; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + COP MED ; TTB
520700102155110; ACICLOVIR; ACICLOVIR; ACICLOVIR; 250 MG PO LIOF P/ SOL INJ IV CT 5 FA VD INC X 20 ML (EMB HOSP) ; TTB
520700103151119; ACICLOVIR; ACICLOVIR; ACICLOVIR; 250 MG PO LIOF P/ SOL INJ IV CX 50 FA VD INC X 20 ML (EMB HOSP); TTB
520700101167115; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CR DERM CT BG AL X 10 G; TTB
520714060091704; ALBENTEL; ALBENTEL; NOT FOUND; 400 MG COM MAST CT BL AL PLAS TRANS X 1 ; TTB
520700502137111; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; TTB
520700605130411; ALBENTEL; ALBENTEL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML; TTB
520700503117112; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 1 ; TTB
520714060091306; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 4; TTB
520731802116118; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; TTB
520731803112116; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 30; TTB
520731801111112; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2.0 MG COM CT BL AL PLAS INC X 30; TTB
520701002111111; AMINOFILINA; AMINOFILINA; AMINOFILINA; 100 MG COM CT  BL AL PVC X 20; TTB
520701003118118; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PVC X 20 ; TTB
520714020090706; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PLAS PVDC 250/120 TRANS X 20; TTB
520714050090906; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PLAS PVDC 250/40 TRANS X 20; TTB
520701001158112; AMINOFILINA; AMINOFILINA; AMINOFILINA; 24 MG/ML SOL INJ CX 50 AMP VD INC X 10 ML (EMB HOSP); TTB
520713100088706; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP DURA CT BL AL PLAS INC X 500 (EMB HOSP); TTB
520723404131116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO PREP EXT SUS OR CT FR VD AMB X 150 ML + CP MED; TTB
520723406134112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO PREP EXT SUS OR CT FR VD AMB X 60 ML + CP MED; TTB
520723401116116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); TTB
520723405111119; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; TTB
520723402112114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; TTB
520723403119112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; TTB
520701401156117; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC +  50 DIL AMP VD INC X 3 ML (EMB HOSP); TTB
520701402152115; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 500 MG PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP VD INC X 2 ML (EMB HOSP); TTB
520702401117111; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 28; TTB
520702501111415; ATEPRESS; ATEPRESS; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 28; TTB
520712080083506; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 60; TTB
520702502118413; ATEPRESS; ATEPRESS; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; TTB
520702402113118; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; TTB
520712080083406; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 60; TTB
520728601113111; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; TTB
520728603116118; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); TTB
520731301117413; ATELIDONA; ATELIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL/PLAS INC X 30; TTB
520731302113411; ATELIDONA; ATELIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL/PLAS INC X 60; TTB
520728602111112; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; TTB
520728604112116; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); TTB
520731303111412; ATELIDONA; ATELIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL/PLAS INC X 30; TTB
520731304116418; ATELIDONA; ATELIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL/PLAS INC X 60; TTB
520733301114119; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; TTB
520733303117115; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 60; TTB
520733302110117; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; TTB
520733304113113; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 60; TTB
520727501115114; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2; TTB
520727502111112; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; TTB
520727503118110; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 5; TTB
520702001119417; ANTIDIN; ANTIDIN; NOT FOUND; 150 MG COM REV CT ENV AL X 20; TTB
520702303131411; ASMOFEN; ASMOFEN; NOT FOUND; 0.2 MG/ ML XPE CT FR VD AMB X 120 ML; TTB
520712090083703; ASMOFEN; ASMOFEN; NOT FOUND; 0.2MG/ML XPE CT FR PET AMB X 120ML + COP; TTB
