506906101116419; CLOPIDROR; CLOPIDROR; NOT FOUND; 75 MG COM REV CT BL AL PVC/PVDC INC X 10; ATV
506913040025903; CLOPIDROR; CLOPIDROR; NOT FOUND; 75 MG COM REV CT BL AL PVC/PVDC INC X 14; ATV
506913040026003; CLOPIDROR; CLOPIDROR; NOT FOUND; 75 MG COM REV CT BL AL PVC/PVDC INC X 28; ATV
506906102112417; CLOPIDROR; CLOPIDROR; NOT FOUND; 75 MG COM REV CT BL AL PVC/PVDC INC X 30; ATV
506903001110112; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; ATV
506903002117110; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25.0 MG COM CT BL AL PLAS INC X 30; ATV
506903003113119; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50.0 MG COM CT BL AL PLAS INC X 30; ATV
506913040025803; CARBOLIM; CARBOLIM; NOT FOUND; 300 MG COM CT BL AL PLAS TRANS X 10; ATV
506900602113413; CARBOLIM; CARBOLIM; NOT FOUND; 300 MG COM CT BL AL/PLAS TRANS X 200 (EMB HOSP); ATV
506903401119117; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); ATV
506900601117415; CARBOLIM; CARBOLIM; NOT FOUND; 300 MG COM CT BL AL PLAS TRANS X 50; ATV
506903402115115; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 50; ATV
506900604116411; CARBOLIM; CARBOLIM; NOT FOUND; 300 MG COM CT BL AL PLAS TRANS X 500 (EMB HOSP); ATV
506903403111113; CARBONATO DE LÍTIO; CARBONATO LITIO; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); ATV
506905502117418; CRONOCOR; CRONOCOR; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 15; ATV
506905608111111; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL PLAS INC X 15; ATV
506905503113416; CRONOCOR; CRONOCOR; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; ATV
506905602111111; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL PLAS INC X 30; ATV
506905504111417; CRONOCOR; CRONOCOR; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 15; ATV
506905603118118; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL PLAS INC X 15; ATV
506905505116412; CRONOCOR; CRONOCOR; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; ATV
506905604114116; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL PLAS INC X 30; ATV
506905501110411; CRONOCOR; CRONOCOR; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 15; ATV
506905605110114; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL PLAS INC X 15; ATV
506905506112410; CRONOCOR; CRONOCOR; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 30; ATV
506905606117112; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL PLAS INC X 30; ATV
506905507119419; CRONOCOR; CRONOCOR; NOT FOUND; 6.25 MG COM CT BL AL PLAS INC X 15; ATV
506905607113110; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL PLAS INC X 15; ATV
506905508115417; CRONOCOR; CRONOCOR; NOT FOUND; 6.25 MG COM CT BL AL PLAS INC X 30; ATV
506905601115111; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL PLAS INC X 30; ATV
506900801116412; CRONOGERON; CRONOGERON; NOT FOUND; 25 MG  COM CT 2 BL AL PLAS AMB X 15 ; ATV
506900802112410; CRONOGERON; CRONOGERON; NOT FOUND; 75 MG COM CT 2 BL AL PLAS AMB X 15 ; ATV
506902001117119; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 1 BL AL PLAS X 14 ; ATV
506902002113117; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 2 BL AL PLAS X 14 ; ATV
506902501111111; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; ATV
506902502116115; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 06 ; ATV
506902504119111; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; ATV
506902503112113; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 06  ; ATV
506906402116116; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 15; ATV
506906602115415; CLOMENAC; CLOMENAC; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 15; ATV
506906401111110; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 30; ATV
506906603111413; CLOMENAC; CLOMENAC; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; ATV
506906403112114; CLORIDRATO DE MEMANTINA; CLORIDRATO MEMANTINA; CLORIDRATO MEMANTINA; 10 MG COM REV CT BL AL PLAS INC X 60; ATV
506906604118411; CLOMENAC; CLOMENAC; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 60; ATV
506906601119417; CLOMENAC; CLOMENAC; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 7; ATV
506903501172117; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; ATV
506900705176418; CONIDRIN; CONIDRIN; NOT FOUND; 0.5 MG/ML + 0.5 MG/ML SOL NASAL CT FR PLAS OPC X 20 ML; ATV
506900702177413; CONIDRIN; CONIDRIN; NOT FOUND; 1 MG/ML + 1 MG/ML SOL NASAL CT FR PLAS OPC X 30 ML; ATV
506903301114113; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; ATV
506903302110111; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; ATV
506904501117114; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS INC X 14; ATV
506905902115412; CEFELIC; CEFELIC; NOT FOUND; 100 MG COM REV CT BL AL PLAST INC X 14; ATV
506904502113112; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 10 ; ATV
506905901119414; CEFELIC; CEFELIC; NOT FOUND; 50MG COM REV CT BL AL PLAST INC X 10 ; ATV
506904503111113; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 20 ; ATV
506905903111410; CEFELIC; CEFELIC; NOT FOUND; 50 MG COM REV CT BL AL PLAST INC X 20; ATV
506904504116119; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 30; ATV
