506904702112411; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); ATV
506904704115116; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 20  ; ATV
506904703119411; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); ATV
506904706118414; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; ATV
506904701116413; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 60  ; ATV
506904705111416; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); ATV
506904707114412; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 20 ; ATV
506904708110410; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); ATV
506904709117419; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 30; ATV
506904710115416; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 60; ATV
506906201110412; TENSIOPAX; TENSIOPAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14; ATV
506906202117410; TENSIOPAX; TENSIOPAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28; ATV
506904902111419; TERBINACOL; TERBINACOL; NOT FOUND; 250 MG COM CT BL AL PLAS OPC X 14; ATV
506904903118417; TERBINACOL; TERBINACOL; NOT FOUND; 250 MG COM CT BL AL PLAS OPC X 28; ATV
506904901115410; TERBINACOL; TERBINACOL; NOT FOUND; 250 MG COM CT BL AL PLAS OPC X 7; ATV
