506901101118410; FLUCODAN; FLUCODAN; NOT FOUND; 150 MG CAP GEL DURA CT  BL AL PLAS INC X 1 ; ATV
506904102115411; FOSIPRAZ; FOSIPRAZ; NOT FOUND; 10 MG COM CT BL AL/AL X 14; ATV
506904201113113; FOSINOPRIL SÓDICO; FOSINOPRIL SODICO; FOSINOPRIL SODICO; 10 MG COM CT BL AL/AL X 14; ATV
506904101119411; FOSIPRAZ; FOSIPRAZ; NOT FOUND; 10 MG COM CT BL AL/AL X 28; ATV
506904202111114; FOSINOPRIL SÓDICO; FOSINOPRIL SODICO; FOSINOPRIL SODICO; 10 MG COM CT BL AL/AL X 28 ; ATV
506904103111418; FOSIPRAZ; FOSIPRAZ; NOT FOUND; 20 MG COM CT BL AL/AL X 14; ATV
506904203116111; FOSINOPRIL SÓDICO; FOSINOPRIL SODICO; FOSINOPRIL SODICO; 20 MG COM CT BL AL/AL X 14 ; ATV
506904104118416; FOSIPRAZ; FOSIPRAZ; NOT FOUND; 20 MG COM CT BL AL/AL X 28; ATV
506904204112118; FOSINOPRIL SÓDICO; FOSINOPRIL SODICO; FOSINOPRIL SODICO; 20 MG COM CT BL AL/AL X 28; ATV
506906302111112; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; ATV
506906301115114; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; ATV
506906303118110; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 15; ATV
506906304114119; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 30; ATV
