506904603114416; RISLEPTIC; RISLEPTIC; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 10 ; ATV
506905401116114; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS INC X 10 ; ATV
506904604110414; RISLEPTIC; RISLEPTIC; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 20; ATV
506905402112112; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS INC X 20; ATV
506904605117412; RISLEPTIC; RISLEPTIC; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); ATV
506905403119110; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); ATV
506904606113410; RISLEPTIC; RISLEPTIC; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 30; ATV
506905404115119; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS INC X 30; ATV
506904607111411; RISLEPTIC; RISLEPTIC; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 10  ; ATV
506905405111117; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS INC X 10; ATV
506904602118418; RISLEPTIC; RISLEPTIC; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 20; ATV
506905406118115; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS INC X 20; ATV
506904608116417; RISLEPTIC; RISLEPTIC; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); ATV
506905412118113; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); ATV
506904609112415; RISLEPTIC; RISLEPTIC; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 30; ATV
506905407114113; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS INC X 30; ATV
506904610110412; RISLEPTIC; RISLEPTIC; NOT FOUND; 3 MG COM REV CT BL AL PLAS INC X 10   ; ATV
506905408110111; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS INC X 10 ; ATV
506904611117410; RISLEPTIC; RISLEPTIC; NOT FOUND; 3 MG COM REV CT BL AL PLAS INC X 20; ATV
506905409117111; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS INC X 20; ATV
506904601111411; RISLEPTIC; RISLEPTIC; NOT FOUND; 3 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); ATV
506905410115117; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); ATV
506904612113419; RISLEPTIC; RISLEPTIC; NOT FOUND; 3 MG COM REV CT BL AL PLAS INC X 30; ATV
506905411111115; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS INC X 30; ATV
506914030028202; RAPAFLO; RAPAFLO; NOT FOUND; 4 MG CAP GEL DURA OR CT BL AL PLAS INC X 30; ATV
506914030028302; RAPAFLO; RAPAFLO; NOT FOUND; 8 MG CAP GEL DURA OR CT BL AL PLAS INC X 30; ATV
