60527, LACTIPAN , LACTIPAN, NOT FOUND, CAPS GELATIN 200 MG x 6, E3S
60526, LACTIPAN , LACTIPAN, NOT FOUND, CAPS GELATIN 100 MG x 12, E3S
60528, LACTIPAN , LACTIPAN, NOT FOUND, PO.ORAL ENV. 1 G x 6, E3S
64584, LANSOPRAZOL MG , LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 28, E3S
64583, LANSOPRAZOL MG , LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 14, E3S
64581, LANSOPRAZOL MG , LANSOPRAZOL, LANSOPRAZOL, CAPS 15 MG x 14, E3S
64582, LANSOPRAZOL MG , LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 7, E3S
61512, LANZ , LANZ, NOT FOUND, CAPS 30 MG x 14, E3S
58418, LANZ , LANZ, NOT FOUND, CAPS 15 MG x 14, E3S
58419, LANZ , LANZ, NOT FOUND, CAPS 30 MG x 7, E3S
64411, LANZ , LANZ, NOT FOUND, CAPS L.R 30 MG x 28, E3S
84942, LATANOPROSTA MG , LATANOPROSTA, LATANOPROSTA, SOL OFTAL 0.05 MG 2.50 ML x 1, E3S
48068, LEVEDO DE CERVEJA , LEVEDO CERVEJA, NOT FOUND, CPR x 100, E3S
68257, LEVERCTIN , LEVERCTIN, NOT FOUND, CPR 6 MG x 4, E3S
68258, LEVERCTIN , LEVERCTIN, NOT FOUND, CPR 6 MG x 2, E3S
68966, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 7, E3S
68967, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 10, E3S
69747, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 3, E3S
70609, LEVOFLOXACINO MG , LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 42, E3S
50439, LEVORDIOL , LEVORDIOL, NOT FOUND, CPR x 28, E3S
63886, LEXFAST , LEXFAST, NOT FOUND, CPR 3 MG x 20, E3S
63887, LEXFAST , LEXFAST, NOT FOUND, CPR 6 MG x 20, E3S
78340, LIPISTAT , LIPISTAT, NOT FOUND, CPR REVEST 20 MG x 30, E3S
78337, LIPISTAT , LIPISTAT, NOT FOUND, CPR REVEST 10 MG x 30, E3S
78338, LIPISTAT , LIPISTAT, NOT FOUND, CPR REVEST 10 MG x 60, E3S
78341, LIPISTAT , LIPISTAT, NOT FOUND, CPR REVEST 20 MG x 60, E3S
78342, LIPISTAT , LIPISTAT, NOT FOUND, CPR REVEST 40 MG x 30, E3S
78343, LIPISTAT , LIPISTAT, NOT FOUND, CPR REVEST 40 MG x 60, E3S
78344, LIPISTAT , LIPISTAT, NOT FOUND, CPR REVEST 80 MG x 30, E3S
78339, LIPISTAT , LIPISTAT, NOT FOUND, CPR REVEST 10 MG x 20, E3S
62921, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 10 MG x 30, E3S
62920, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 5 MG x 30, E3S
62922, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 20 MG x 30, E3S
62923, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 30 MG x 30, E3S
69687, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 30 MG x 60, E3S
69688, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 20 MG x 60, E3S
69689, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 10 MG x 90, E3S
69690, LISINOPRIL MG , LISINOPRIL, LISINOPRIL, CPR 5 MG x 90, E3S
61967, LORATA+PSEUDOEF.MG , LORATA PSEUDOEF, NOT FOUND, XAR. 60 ML x 1, E3S
58422, LORATADINA MG , LORATADINA, LORATADINA, XAROPE 5 MG 100 ML x 1 (/5ML), E3S
63889, LORAZEFAST , LORAZEFAST, NOT FOUND, CPR 2 MG x 20, E3S
63888, LORAZEFAST , LORAZEFAST, NOT FOUND, CPR 1 MG x 20, E3S
58962, LORAZEPAM MG , LORAZEPAM, LORAZEPAM, CPR 2 MG x 20, E3S
58961, LORAZEPAM MG , LORAZEPAM, LORAZEPAM, CPR 1 MG x 20, E3S
67941, LOSART.PO.+HCTZ MG , LOSART PO HCTZ, NOT FOUND, CPR REVEST 12.5 MG x 30 (/50), E3S
67943, LOSART.PO.+HCTZ MG , LOSART PO HCTZ, NOT FOUND, CPR REVEST 25 MG x 30 (/100), E3S
73834, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 30, E3S
73835, LOSARTAN POTAS.MG , LOSARTAN POTAS, NOT FOUND, CPR REVEST 100 MG x 30, E3S
