77003, CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, MD7,525071504114119, CARVEDILOL, CARVEDILOL, 25 MG COM CT BL AL/AL X 30, MD7
81741, FUM QUETIAPINA, NOT FOUND, CPR REVEST 25 MG x 14, LG6,538812301111111, FUMARATO QUETIAPINA, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 14, LG6
78993, ATORVASTATINA, ATORVASTATINA, CPR REVEST 40 MG x 30, GM2,526133204117111, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 40 MG COM REV CT BL AL AL X 30, GM2
62025, LISINOPRIL, LISINOPRIL, CPR 5 MG x 30, SDZ,511505406117110, LISINOPRIL, LISINOPRIL, 5 MG COM CT BL AL PLAS INC X 30, SDZ
80434, GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 60, GM2,526131105111119, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 60, GM2
68734, GLIANSOR, NOT FOUND, CPR 2 MG x 30, LG6,538813901110416, GLIANSOR, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 30, LG6
75650, LIPIBLOCK, NOT FOUND, CAPS 120 MG x 42, GM2,526136101114416, LIPIBLOCK, NOT FOUND, 120 MG CAP GEL DURA CT BL AL PLAS OPC X 42, GM2
68207, CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10, GM2,526120501118110, CETOCONAZOL, CETOCONAZOL, 200 MG COM CT BL AL PLAS LEIT X 10, GM2
50759, NEO HIDROCLOR, NOT FOUND, CPR 50 MG x 20, N_Q,519009401116412, NEO HIDROCLOR, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, N_Q
56854, NEO ITRAX, NOT FOUND, CAPS GELATIN 100 MG x 4, N_Q,519009601115411, NEO ITRAX, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 4, N_Q
66974, CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 75 MG x 20, MD7,525066806116118, CLORIDRATO AMITRIPTILINA, CLORIDRATO AMITRIPTILINA, 75 MG COM REV CT BL AL PLAS INC X 20, MD7
61760, SINVATROX, NOT FOUND, CPR REVEST 20 MG x 30, LG6,538812601113411, SINVATROX, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 30, LG6
82917, ROVELAN, NOT FOUND, CPR REV . 320 MG x 30, E3S,507722304111416, ROVELAN, NOT FOUND, 320 MG COM REV CT BL AL/AL X 30, E3S
75651, LIPIBLOCK, NOT FOUND, CAPS 120 MG x 84, GM2,526136102110414, LIPIBLOCK, NOT FOUND, 120 MG CAP GEL DURA CT BL AL PLAS OPC X 84, GM2
75909, RAZAPINA, NOT FOUND, CPR REVEST 30 MG x 7, SDZ,511515601117415, RAZAPINA, NOT FOUND, 30 MG COM REV CT BL AL/PLAS INC X 7, SDZ
68182, CEFACLOR, CEFACLOR, CAPS 500 MG x 10, LG6,538813002116111, CEFACLOR, CEFACLOR, 500 MG CAP GEL DURA CT BL AL PLAS OPC X 10, LG6
77941, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 25 MG x 4, GM2,526133001119111, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM REV CT BL AL PLAS OPC X 4, GM2
70379, PLESONAX, NOT FOUND, DRAG 5 MG x 20, N_Q,519020101115411, PLESONAX, NOT FOUND, 5 MG DRG CT BL AL PLAS INC X 20, N_Q
62534, CLO, NOT FOUND, CPR REVEST 10 MG x 20, E3S,507707102110113, CLORIDRATO CLOMIPRAMINA, CLORIDRATO CLOMIPRAMINA, 10 MG COM REVES CT BL AL PLAS INC X 20, E3S
79594, VALSARTANA, VALSARTANA, CPR REVEST 160 MG x 60, MD7,525073104113111, VALSARTANA, VALSARTANA, 160 MG COM REV CT BL AL/AL X 60, MD7
78521, DIABEMED, NOT FOUND, CPR 2 MG x 60, GM2,526133702117415, DIABEMED, NOT FOUND, 2 MG COM CT BL AL PLAS OPC X 60, GM2
101629, ALENDOSSEO, NOT FOUND, CPR 70 MG x 4, E3S,507739701117415, ALENDOSSEO, NOT FOUND, 70 MG COM CT BL AL PLAS OPC X 4, E3S
62027, LISINOPRIL, LISINOPRIL, CPR 20 MG x 30, SDZ,511505402111118, LISINOPRIL, LISINOPRIL, 20 MG COM CT BL AL PLAS BCO OPC X 30, SDZ
67511, VITAMINA E, NOT FOUND, CAPS 400 MG x 30, SDZ,511510002118413, VITAMINA E, NOT FOUND, 400 MG CAP GEL MOLE CT FR PLAS OPC X 30, SDZ
68067, VIVANZA, NOT FOUND, CPR REVEST 10 MG x 4, MD7,525066501110418, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 4, MD7
69556, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, GM2,526125403114111, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS LEIT X 20, GM2
68735, GLIANSOR, NOT FOUND, CPR 4 MG x 30, LG6,538813902117414, GLIANSOR, NOT FOUND, 4 MG COM CT BL AL PLAS INC X 30, LG6
55709, ATENEO, NOT FOUND, CPR 100 MG x 28, N_Q,519000801111414, ATENEO, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 28, N_Q
68258, LEVERCTIN, NOT FOUND, CPR 6 MG x 2, E3S,507731101110414, LEVERCTIN, NOT FOUND, 6 MG COM CT STR AL X 2, E3S
57832, XATRAL, NOT FOUND, CPR OD 10 MG x 10, S_A,530506202112317, XATRAL, NOT FOUND, 10 MG COM REV LP CT BL AL PLAS INC X 10, S_A
69305, ALBENDAZOL, ALBENDAZOL, CPR MASC 200 MG x 2, GM2,526118302111114, ALBENDAZOL, ALBENDAZOL, 200 MG COM MAST CT BL AL PLAS LEIT X 2, GM2
80413, PIOTAZ, NOT FOUND, CPR 15 MG x 15, GM2,526135701118414, PIOTAZ, NOT FOUND, 15 MG COM CT FR PLAS OPC X 15, GM2
69324, ESPIRONOLACTONA, ESPIRONOLACTONA, CPR 100 MG x 30, GM2,526119505113111, ESPIRONOLACTONA, ESPIRONOLACTONA, 100 MG COM CT BL AL PLAS INC X 30, GM2
57202, TENOXICAM, TENOXICAM, CPR REVEST 20 MG x 10, E3S,507723602114111, TENOXICAM, TENOXICAM, 20 MG COM REV CT BL AL PLAS INC X 10, E3S
75904, PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, SDZ,511515403110112, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 14, SDZ
65383, NEO MOXILIN, NOT FOUND, CAPS 500 MG x 21, N_Q,519024701117418, NEO MOXILIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PVDC INC X 21, N_Q
81742, FUM QUETIAPINA, NOT FOUND, CPR REVEST 100 MG x 30, LG6,538812302116117, FUMARATO QUETIAPINA, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 30, LG6
67593, TIABENDAZOL, TIABENDAZOL, CPR 500 MG x 6, E3S,507731301111112, TIABENDAZOL, TIABENDAZOL, 500 MG COM CT BL AL PLAS LEIT X 6, E3S
67102, HERPESIL, NOT FOUND, CPR 200 MG x 25, SDZ,511504804119417, HERPESIL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 25, SDZ
58166, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, GM2,526100407116113, AMOXICILINA, AMOXICILINA, 500 MG COM CT BL AL PLAS LEIT X 21, GM2
56208, OMEPROTEC, NOT FOUND, CAPS 20 MG x 14, SDZ,511507403115415, OMEPROTEC, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 14, SDZ
65382, NEO MOXILIN, NOT FOUND, CAPS 500 MG x 15, N_Q,519024702113416, NEO MOXILIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PVDC INC X 15, N_Q
69558, HIDROCLOROTIAZI, NOT FOUND, CPR 25 MG x 30, GM2,526125501116119, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, GM2
65623, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, N_Q,519022501110111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT ENV AL X 30, N_Q
78060, BROM CITALOPRAM, NOT FOUND, CPR REVEST 20 MG x 28, LG6,538807801118119, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS OPC X 28, LG6
74534, AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 2, N_Q,519028501112113, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 2, N_Q
80662, ROSTATIN, NOT FOUND, CPR REVEST 10 MG x 30, GM2,526135601113410, ROSTATIN, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, GM2
73470, FLATEX, NOT FOUND, CAPS GEL 125 MG x 10, FAS,508702707111415, FLATEX, NOT FOUND, 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10, FAS
84464, RAFEX, NOT FOUND, CPR REVEST 120 MG x 10, MD7,525074002111411, RAFEX, NOT FOUND, 120 MG COM REV CT BL AL PLAS INC X 10, MD7
57750, LOMBALGINA, NOT FOUND, CPR 300 MG x 20, N_Q,519006601114419, LOMBALGINA, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 20, N_Q
61099, LISINOPRIL, LISINOPRIL, CPR 5 MG x 10, MD7,525007305114117, LISINOPRIL, LISINOPRIL, 5 MG COM CT BL AL PLAST INC X 10, MD7
69601, CLOR SERTRALINA, CLORIDRATO SERTRALINA, CPR REVEST 50 MG x 20, E3S,507734404114119, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS LEIT X 20, E3S
77943, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 2, GM2,526133004118114, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS OPC X 2, GM2
71618, MIRTAZAPINA, MIRTAZAPINA, CPR REVEST 30 MG x 7, SDZ,511515203111115, MIRTAZAPINA, MIRTAZAPINA, 30 MG COM REV CT BL AL PLAS INC X 7, SDZ
2000, CALMOCITENO, NOT FOUND, CPR 10 MG x 20, MD7,525001702111417, CALMOCITENO, NOT FOUND, 10 MG COM CT BL AL PLAST INC X 20, MD7
77143, RISEDRONEL, NOT FOUND, CPR REVEST 35 MG x 4, LG6,538806101112411, RISEDRONEL, NOT FOUND, 35 MG COM REV CT BL AL PLAS OPC X 4, LG6
68992, BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, GM2,526120003118119, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 30, GM2
75523, ACID MEFENAMICO, ACIDO MEFENAMICO, CPR 500 MG x 24, LG6,538814201112112, ACIDO MEFENAMICO, ACIDO MEFENAMICO, 500 MG COM CT BL AL PLAS OPC X 24, LG6
66127, DEXAMETASONA, DEXAMETASONA, CPR 0.50 MG x 20, E3S,507709502116115, DEXAMETASONA, DEXAMETASONA, 0.50 MG COM CT BL AL PLAS BCO LEIT X 20, E3S
56206, OMEPROTEC, NOT FOUND, CAPS 20 MG x 7, SDZ,511507402119417, OMEPROTEC, NOT FOUND, 20 MG CAP GEL DURA CT FR PLAS OPC X 7, SDZ
72244, CIZAX, NOT FOUND, CPR 10 MG x 10, MQF,512405502112417, CIZAX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 10, MQF
78518, ATORLESS, NOT FOUND, CPR REVEST 20 MG x 30, GM2,526134702110419, ATORLESS, NOT FOUND, 20 MG COM REV CT BL AL / AL X 30, GM2
77934, SOLLEVARE, NOT FOUND, CPR REVEST 100 MG x 1, E3S,507744502119414, SOLLEVARE, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 1, E3S
79144, LIPIGRAN, NOT FOUND, CPR REVEST 10 MG x 30, LG6,538805202111412, LIPIGRAND, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, LG6
75756, NORFLOXACINO, NORFLOXACINO, CPR REVEST 400 MG x 6, N_Q,519028902117116, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS INC X 6, N_Q
78705, GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, LG6,538803403118116, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 30, LG6
69723, NEUROTRYPT, NOT FOUND, CPR REVEST 25 MG x 30, E3S,507734901118414, NEUROTRYPT, NOT FOUND, 25 MG COM REV CT BL AL PLAS LEITOSO X 30, E3S
57057, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 28, E3S,507714002118115, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 28, E3S
60789, ATENOPRESS, NOT FOUND, CPR REVEST 25 MG x 28, SDZ,511500802111416, ATENOPRESS, NOT FOUND, 25 MG COM BL AL PLAS INC X 28, SDZ
67929, ALENDRONATO SOD, ALENDRONATO SODIO TRI-HIDRATADO, CPR 70 MG x 2, E3S,507731501119419, ALENDRONATO SODICO, NOT FOUND, 70 MG COM CT BL AL PLAS LEIT X 2, E3S
56375, CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 60, MD7,525001803112117, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PLAS INC X 60, MD7
76495, CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 30, LG6,538803502116111, CLORIDRATO CICLOBENZAPRINA, CLORIDRATO CICLOBENZAPRINA, 10 MG COM REV CT BL AL PLAS OPC X 30, LG6
60444, DICLOR CETIRIZI, DICLORIDRATO CETIRIZINA, CPR RECUB. 10 MG x 12, MD7,525005003110112, DICLORIDRATO CETIRIZINA, DICLORIDRATO CETIRIZINA, 10 MG COM REV CT BL AL PLAS INC X 12, MD7
73818, DIAZEPAM, DIAZEPAM, CPR 10 MG x 20, LG6,538808201114110, DIAZEPAM, DIAZEPAM, 10 MG COM CT BL AL PLAS INC X 20, LG6
