508705402115411, PANGEST, PANGEST, NOT FOUND, 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10 , FAS
508708401136118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT FR PLAS OPC X 15 ML, FAS
508708402116110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS AMB X 20, FAS
508708403112119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS X 200, FAS
508709601112415, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG CAPS GEL DURA CT BL AL PLAST INC X 10, FAS
508709602119413, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG CAPS GEL DURA CT BL AL PLAST INC X 30, FAS
508709603115411, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG GRAN CT SACH X 10, FAS
508709604111411, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG GRAN CT SACH X 30, FAS
508709605118418, PAXORAL, PAXORAL, NOT FOUND, 7 MG CAPS GEL DURA CT BL AL PLAST INC X 10, FAS
508709606114416, PAXORAL, PAXORAL, NOT FOUND, 7 MG CAPS GEL DURA CT BL AL PLAST INC X 30, FAS
508705501156418, PENTOX, PENTOX, NOT FOUND, 20 MG/ML SOL INJ CT 5 AMP VD AMB X 5 ML, FAS
508705502111418, PENTOX, PENTOX, NOT FOUND, 400 MG COMP REV CT 2 BL AL PLAST INC X 10, FAS
508705601118410, PEPTULAN, PEPTULAN, NOT FOUND, 120 MG COMP REV CT 2 ENV AL POLIET X 10 + 1 ENV AL, FAS
508705801117418, PSICOSEDIN, PSICOSEDIN, NOT FOUND, 10 MG COMP REV CT BL AL PLAST INC X 20, FAS
508705803111417, PSICOSEDIN, PSICOSEDIN, NOT FOUND, 25 MG COMP REV CT BL AL PLAST INC X 20, FAS
508705402115411, PANGEST, PANGEST, NOT FOUND, 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10 , FAS
508708401136118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT FR PLAS OPC X 15 ML, FAS
508708402116110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS AMB X 20, FAS
508708403112119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS X 200, FAS
508709601112415, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG CAPS GEL DURA CT BL AL PLAST INC X 10, FAS
508709602119413, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG CAPS GEL DURA CT BL AL PLAST INC X 30, FAS
508709603115411, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG GRAN CT SACH X 10, FAS
508709604111411, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG GRAN CT SACH X 30, FAS
508709605118418, PAXORAL, PAXORAL, NOT FOUND, 7 MG CAPS GEL DURA CT BL AL PLAST INC X 10, FAS
508709606114416, PAXORAL, PAXORAL, NOT FOUND, 7 MG CAPS GEL DURA CT BL AL PLAST INC X 30, FAS
508705501156418, PENTOX, PENTOX, NOT FOUND, 20 MG/ML SOL INJ CT 5 AMP VD AMB X 5 ML, FAS
508705502111418, PENTOX, PENTOX, NOT FOUND, 400 MG COMP REV CT 2 BL AL PLAST INC X 10, FAS
508705601118410, PEPTULAN, PEPTULAN, NOT FOUND, 120 MG COMP REV CT 2 ENV AL POLIET X 10 + 1 ENV AL, FAS
508705801117418, PSICOSEDIN, PSICOSEDIN, NOT FOUND, 10 MG COMP REV CT BL AL PLAST INC X 20, FAS
508705803111417, PSICOSEDIN, PSICOSEDIN, NOT FOUND, 25 MG COMP REV CT BL AL PLAST INC X 20, FAS
508705402115411, PANGEST, PANGEST, NOT FOUND, 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10 , FAS
508708401136118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT FR PLAS OPC X 15 ML, FAS
508708402116110, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS AMB X 20, FAS
508708403112119, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS X 200, FAS
508709601112415, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG CAPS GEL DURA CT BL AL PLAST INC X 10, FAS
508709602119413, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG CAPS GEL DURA CT BL AL PLAST INC X 30, FAS
508709603115411, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG GRAN CT SACH X 10, FAS
508709604111411, PAXORAL, PAXORAL, NOT FOUND, 3.5 MG GRAN CT SACH X 30, FAS
508709605118418, PAXORAL, PAXORAL, NOT FOUND, 7 MG CAPS GEL DURA CT BL AL PLAST INC X 10, FAS
508709606114416, PAXORAL, PAXORAL, NOT FOUND, 7 MG CAPS GEL DURA CT BL AL PLAST INC X 30, FAS
