1072500060042; GLICOSE; GLICOSE; GLICOSE; SOL INJ. FR. 1000 ML; BA_
1072500060123; GLICOSE; GLICOSE; GLICOSE; SOL INJ. FR. 250 ML; BA_
1072500060069; GLICOSE; GLICOSE; GLICOSE; SOL INJ. FR. 500 ML; BA_
1072500060018; GLICOSE; GLICOSE; GLICOSE; SOL INJ. FR. 1000 ML; BA_
1072500060026; GLICOSE; GLICOSE; GLICOSE; SOL INJ. FR. 250 ML; BA_
1072500060034; GLICOSE; GLICOSE; GLICOSE; SOL INJ. FR. 500 ML; BA_
1072500060115; GLICOSE; GLICOSE; GLICOSE; SOL INJ. FR.125 ML; BA_
1072502930082; GLICOSE BASA; GLICOSE BASA; NOT FOUND; 0.05 G / ML SOL INJ IV CX 50 FR PLAS TRANS SIST FECH X 125 ML; BA_
1072502930112; GLICOSE BASA; GLICOSE BASA; NOT FOUND; 0.05 G / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML; BA_
1072502930104; GLICOSE BASA; GLICOSE BASA; NOT FOUND; 0.05 G / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; BA_
1072502930090; GLICOSE BASA; GLICOSE BASA; NOT FOUND; 0.05 G / ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML; BA_
1072502930147; GLICOSE BASA; GLICOSE BASA; NOT FOUND; 0.10 G / ML SOL INJ IV CX 16 FR PLAS TRANS SIST FECH X 1000 ML; BA_
1072502930139; GLICOSE BASA; GLICOSE BASA; NOT FOUND; 0.10 G / ML SOL INJ IV CX 24 FR PLAS TRANS SIST FECH X 500 ML; BA_
1072502930120; GLICOSE BASA; GLICOSE BASA; NOT FOUND; 0.10 G / ML SOL INJ IV CX 40 FR PLAS TRANS SIST FECH X 250 ML; BA_
