532907801110413; TRISOMATOL; TRISOMATOL; NOT FOUND; 25 MG COM CT 2 BL AL PLAS AMB X 10; UCI
532907802117411; TRISOMATOL; TRISOMATOL; NOT FOUND; 25 MG COM CT 20 BL AL PLAS AMB X 10; UCI
532907803113411; TRISOMATOL; TRISOMATOL; NOT FOUND; 75 MG COM CT 2 BL AL PLAS AMB X 10; UCI
532907804111410; TRISOMATOL; TRISOMATOL; NOT FOUND; 75 MG COM CT 20 BL AL PLAS AMB X 10; UCI
532904602168417; TRINIZOL-M; TRINIZOL M; NOT FOUND; 30 MG + 20MG CR VAG CT BG AL X 40 G + 7 APLIC; UCI
532904601161419; TRINIZOL-M; TRINIZOL M; NOT FOUND; 30 MG + 20MG CR VAG CT BG AL X 80 G ; UCI
532904501116411; TRENTOFIL; TRENTOFIL; NOT FOUND; 400 MG COM REV CT 2 BL AL PVC X 10 ; UCI
532904502112411; TRENTOFIL; TRENTOFIL; NOT FOUND; 400 MG COM REV CX CT 20 BL AL PVC X 10 ; UCI
532904302164416; THIABENA; THIABENA; NOT FOUND; 50MG/G POM DERM CT BG AL X 20G; UCI
532904303160414; THIABENA; THIABENA; NOT FOUND; 50MG/G POM DERM CT BG AL X 45G; UCI
532912010018006; TIOABENDAZOL; TIOABENDAZOL; NOT FOUND; 50 MG/G POM DERM CT BG AL X 45 G; UCI
532904202135414; THIABEN; THIABEN; NOT FOUND; 50 MG/ML SUS OR CT FR VD AMB X 40 ML; UCI
532904201112410; THIABEN; THIABEN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 6; UCI
