532901801161418; FUNGIROX; FUNGIROX; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; UCI
532901804177412; FUNGIROX; FUNGIROX; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS CGT X 15 ML; UCI
532901802174416; FUNGIROX; FUNGIROX; NOT FOUND; 80 MG/G ESMALTE P/UNHAS CT FR VD INC X 3 G; UCI
532901803170414; FUNGIROX; FUNGIROX; NOT FOUND; 80 MG/G ESMALTE P/UNHAS CT FR VD INC X 6 G; UCI
532901501115410; FEXODANE; FEXODANE; NOT FOUND; 120 MG COM REV CT STR AL/AL X 10; UCI
532901502111419; FEXODANE; FEXODANE; NOT FOUND; 180 MG COM REV CT STR AL/AL X 10; UCI
532901703133411; FRENURIN; FRENURIN; NOT FOUND; 1 MG/ML XPE CT FR VD AMB X 120 ML; UCI
532901701114418; FRENURIN; FRENURIN; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; UCI
532901702110416; FRENURIN; FRENURIN; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 60; UCI
532907301118415; FENDICAL; FENDICAL; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 15; UCI
532907302114413; FENDICAL; FENDICAL; NOT FOUND; 1 MG COM REV CT  BL AL PLAS INC X 30; UCI
