70144; SORINAN ; SORINAN; NOT FOUND; GOTAS NASAL 30 ML x 1 (ADLT); PLB
70145; SORINAN ; SORINAN; NOT FOUND; GOTAS NASAL 30 ML x 1 (INF); PLB
72207; SOYNATI ; SOYNATI; NOT FOUND; CPR 150 MG x 30; PLB
68444; SPECTORUB ; SPECTORUB; NOT FOUND; PAST CEREJA x 20; PLB
68445; SPECTORUB ; SPECTORUB; NOT FOUND; PAST LARANJA x 20; PLB
68446; SPECTORUB ; SPECTORUB; NOT FOUND; PAST MENTA x 20; PLB
68447; SPECTOSAN ; SPECTOSAN; NOT FOUND; XAR. AD 150 ML x 1; PLB
68448; SPECTOSAN ; SPECTOSAN; NOT FOUND; XAR. PED. 100 ML x 1; PLB
68678; SPECTOSAN ; SPECTOSAN; NOT FOUND; XPE AD MEL 150 ML x 1; PLB
68679; SPECTOSAN ; SPECTOSAN; NOT FOUND; XPE PED MEL 100 ML x 1; PLB
71485; SULFTRIN ; SULFTRIN; NOT FOUND; CPR 400 MG x 20 (/80); PLB
71486; SULFTRIN ; SULFTRIN; NOT FOUND; SUSP 40 MG 100 ML x 1 (/8); PLB
