69123; RESFEDRYL ; RESFEDRYL; NOT FOUND; CAPS x 20; PLB
69124; RESFEDRYL ; RESFEDRYL; NOT FOUND; CPR x 200; PLB
69125; RESFEDRYL ; RESFEDRYL; NOT FOUND; GOTAS 20 ML x 1; PLB
70141; RESFEDRYL ; RESFEDRYL; NOT FOUND; SACHETS 5 G x 100; PLB
72206; RESFEDRYL ; RESFEDRYL; NOT FOUND; SACHETS 5 G x 50; PLB
69126; RESFEDRYL ; RESFEDRYL; NOT FOUND; XAROPE 100 ML x 1; PLB
69394; RITCOR ; RITCOR; NOT FOUND; CPR 100 MG x 30; PLB
69395; RITCOR ; RITCOR; NOT FOUND; CPR 50 MG x 30; PLB
69274; RITPRESS ; RITPRESS; NOT FOUND; CPR 25 MG x 15; PLB
69275; RITPRESS ; RITPRESS; NOT FOUND; CPR 25 MG x 30; PLB
69276; RITPRESS ; RITPRESS; NOT FOUND; CPR 50 MG x 15; PLB
69277; RITPRESS ; RITPRESS; NOT FOUND; CPR 50 MG x 30; PLB
