72160; AEROFRIN ; AEROFRIN; NOT FOUND; AERO DOSIS 100 Y x 200; PLB
68405; AEROFRIN ; AEROFRIN; NOT FOUND; XAR. 2 MG 120 ML x 1 (/5ML); PLB
76631; AFTODERM ; AFTODERM; NOT FOUND; CR.VAG.7 APL 100 K 60 G x 1 (/4G); PLB
69360; AFTODERM ; AFTODERM; NOT FOUND; SUSP TOP 100 K 50 ML x 1 (/ML); PLB
68776; ALBENDAL ; ALBENDAL; NOT FOUND; CPR 200 MG x 2; PLB
68777; ALBENDAL ; ALBENDAL; NOT FOUND; CPR 400 MG x 1; PLB
68778; ALBENDAL ; ALBENDAL; NOT FOUND; SUSP 400 MG 10 ML x 1; PLB
71957; ALCANATAN ; ALCANATAN; NOT FOUND; CAPS 250 MG x 100; PLB
71958; ALCANATAN ; ALCANATAN; NOT FOUND; CAPS 250 MG x 30; PLB
71959; ALCANATAN ; ALCANATAN; NOT FOUND; SUSP ORAL 150 ML x 1; PLB
68987; ALERGCORTEN ; ALERGCORTEN; NOT FOUND; CPR 20 MG x 20; PLB
68988; ALERGCORTEN ; ALERGCORTEN; NOT FOUND; CPR 5 MG x 20; PLB
75384; ALHOMEL ; ALHOMEL; NOT FOUND; XAROPE 150 ML x 1; PLB
68115; ANEMIFER ; ANEMIFER; NOT FOUND; DRAG 40 MG x 50; PLB
68114; ANEMIFER ; ANEMIFER; NOT FOUND; GOTAS 250 MG 30 ML x 1 (/ML); PLB
68117; ANEMIFER ; ANEMIFER; NOT FOUND; XAR. 25 MG 100 ML x 1 (/5ML); PLB
71862; APETIVAN BC ; APETIVAN BC; NOT FOUND; XAROPE 240 ML x 1; PLB
137878; ARNICA ; ARNICA; NOT FOUND; CREME 60 G x 1; PLB
89163; ARNICA ; ARNICA; NOT FOUND; POMADA. 30 G x 1; PLB
69308; ASSETIL ; ASSETIL; NOT FOUND; CPR 100 MG x 200; PLB
69307; ASSETIL ; ASSETIL; NOT FOUND; CPR 500 MG x 200; PLB
76634; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR 500 MG x 3; PLB
84358; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR 500 MG x 5; PLB
