503901501138412; CLAV-AIR; CLAV AIR; NOT FOUND; 125 MG/05 ML + 31.25 MG/05 ML PO PREP EXTEMP CT 01 FR VD AMB X 75 ML; BFR
503901502134410; CLAV-AIR; CLAV AIR; NOT FOUND; 250 MG/05 ML + 62.50 MG/05 ML PO PREP EXTEMP CT 01 FR VD AMB X 75 ML; BFR
503901503114413; CLAV-AIR; CLAV AIR; NOT FOUND; 500 MG + 125 MG COM REV CT 01 BL AL PLAS INC X 12; BFR
503901504110411; CLAV-AIR; CLAV AIR; NOT FOUND; 500 MG + 125 MG COM REV CT 01 BL AL PLAS INC X 18; BFR
503905201112410; CABIOTEN; CABIOTEN; NOT FOUND; 12.5 MG COM CT 2 BL AL PLAS INC X 15; BFR
503905204111415; CABIOTEN; CABIOTEN; NOT FOUND; 25 MG COM CT 1 BL AL PLAS INC X 16; BFR
503905202119419; CABIOTEN; CABIOTEN; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 14; BFR
503905203115417; CABIOTEN; CABIOTEN; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14; BFR
503900904166416; CETOZAZ; CETOZAZ; NOT FOUND; 20 MGG CREM CX 50 BG AL PLAS INC X 30 G; BFR
503900905162414; CETOZAZ; CETOZAZ; NOT FOUND; 20MG/GCREM BISNX30G; BFR
503900901116418; CETOZAZ; CETOZAZ; NOT FOUND; 200 MGCOMP 1BLX 10; BFR
503900902112416; CETOZAZ; CETOZAZ; NOT FOUND; 200 MGCOMP 3 BL X 10; BFR
503900903119414; CETOZAZ; CETOZAZ; NOT FOUND; 200 MGCOMP 50 BL X 10; BFR
503901001119419; CIMETETAX; CIMETETAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; BFR
503901002115417; CIMETETAX; CIMETETAX; NOT FOUND; 200 MG COM CT 4 BL AL PLAS INC X 10; BFR
503901003111415; CIMETETAX; CIMETETAX; NOT FOUND; 400 MG COM CT  BL AL PLAS INC X 16; BFR
503901004118413; CIMETETAX; CIMETETAX; NOT FOUND; 800 MG COM CT  BL AL PLAS INC X 8; BFR
503901102111413; CINARIVERT; CINARIVERT; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BFR
503901101113412; CINARIVERT; CINARIVERT; NOT FOUND; 25 MG COM CT 3 BL AL PLAS INC X 30; BFR
503901103116419; CINARIVERT; CINARIVERT; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; BFR
503901104139412; CINARIVERT; CINARIVERT; NOT FOUND; 75 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; BFR
503901301139415; CLABIOSIN; CLABIOSIN; NOT FOUND; 125 MG PO PREP EXTEMP CT FR VD AMB X 60 ML + COLHER MEDIDA; BFR
503901401133419; CLARICINA; CLARICINA; NOT FOUND; 125 MG PO PREP EXTEMP CT FR VD AMB X 60 ML + COLHER MEDIDA; BFR
503901302119418; CLABIOSIN; CLABIOSIN; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
503901402113411; CLARICINA; CLARICINA; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS INC X 10; BFR
503901202114414; CIPROMIZIN; CIPROMIZIN; NOT FOUND; 250 MG COM REV CX 2 BL AL PLAS INC X 7; BFR
503901201118416; CIPROMIZIN; CIPROMIZIN; NOT FOUND; 250 MG COM REV CX BL AL PLAS INC X 6; BFR
503901204117410; CIPROMIZIN; CIPROMIZIN; NOT FOUND; 500 MG COM REV CX 2 BL AL PLAS INC X 7; BFR
503901203110412; CIPROMIZIN; CIPROMIZIN; NOT FOUND; 500 MG COMP 1BL X 6; BFR
503901602112419; CLORPROMINI; CLORPROMINI; NOT FOUND; 250 MG COM CT 10 BL AL PLAS INC X 10; BFR
503901601116410; CLORPROMINI; CLORPROMINI; NOT FOUND; 250 MG COM CT 3 BL AL PLAS INC X 10; BFR
503901702117412; COMBULCER; COMBULCER; NOT FOUND; 20 MG COM REV CT 02 BL AL PLAS INC X 07; BFR
503901701110414; COMBULCER; COMBULCER; NOT FOUND; 20 MG COM REV CT 01 BL AL PLAS INC X 07; BFR
503901704111411; COMBULCER; COMBULCER; NOT FOUND; 40 MG COM REV CT 02 BL AL PLAS INC X 07; BFR
503901703113410; COMBULCER; COMBULCER; NOT FOUND; 40 MG COM REV CT 01 BL AL PLAS INC X 07; BFR
