77643; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; POM. 30 G x 1; N_Q
135007; AC.CIPRO+ETINIL MG ; AC CIPRO ETINIL; NOT FOUND; CPR REVEST 2 MG x 21 (/35); N_Q
68514; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 10 MG 120 ML x 1 (/ML); N_Q
68513; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 5 MG 120 ML x 1 (/ML); N_Q
68819; ACETAMIL ; ACETAMIL; NOT FOUND; CPR 750 MG x 100; N_Q
73144; ACETAMIL ; ACETAMIL; NOT FOUND; CPR 750 MG x 200; N_Q
71762; ACETAMIL ; ACETAMIL; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); N_Q
65519; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CPR 200 MG x 25; N_Q
57577; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); N_Q
76064; ACIDO FUSIDICO MG ; ACIDO FUSIDICO; ACIDO FUSIDICO; CREME 20 MG 15 G x 1 (/G); N_Q
63756; ALBENDAZOL MG ; ALBENDAZOL; ALBENDAZOL; CPR 400 MG x 1; N_Q
56348; ALBENDAZOL MG ; ALBENDAZOL; ALBENDAZOL; SUSP 40 MG 10 ML x 1 (/ML); N_Q
59543; ALBENZONIL ; ALBENZONIL; NOT FOUND; CPR MASC 400 MG x 1; N_Q
49817; ALBENZONIL ; ALBENZONIL; NOT FOUND; CPR 200 MG x 2; N_Q
49818; ALBENZONIL ; ALBENZONIL; NOT FOUND; SUSP 4 % 10 ML x 1; N_Q
145085; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 70 MG x 4; N_Q
145088; ALENDRUS ; ALENDRUS; NOT FOUND; CPR 70 MG x 4; N_Q
73536; ALERGIDEX ; ALERGIDEX; NOT FOUND; XAROPE 2 MG 120 ML x 1 (/5ML); N_Q
104576; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 30; N_Q
104577; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 30; N_Q
104579; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 30; N_Q
104580; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 30; N_Q
53441; AMILORID ; AMILORID; NOT FOUND; CPR BLISTER 50 MG x 30 (/5MG); N_Q
73404; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; CPR 200 MG x 20; N_Q
63915; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; N_Q
64077; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; N_Q
63832; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; PO P/SUSP 250 MG 150 ML x 1 (/5ML); N_Q
61978; AMPICILINA MG ; AMPICILINA; AMPICILINA; PO P/SUSP 250 MG 150 ML x 1 (/5ML); N_Q
61979; AMPICILINA MG ; AMPICILINA; AMPICILINA; PO P/SUSP 250 MG 60 ML x 1 (/5ML); N_Q
74254; ANGIOLOT ; ANGIOLOT; NOT FOUND; DRAG x 20; N_Q
57224; ASMAPEN ; ASMAPEN; NOT FOUND; A.IV 24 MG 10 ML x 50 (/ML); N_Q
53312; ASMAPEN ; ASMAPEN; NOT FOUND; CPR 100 MG x 20; N_Q
55506; ASMAPEN ; ASMAPEN; NOT FOUND; CPR 200 MG x 20; N_Q
155043; ASSEPTCARE ; ASSEPTCARE; NOT FOUND; SOL TOP 10 MG 30 ML x 1; N_Q
84485; ASSEPTCARE ; ASSEPTCARE; NOT FOUND; SPRAY 10 MG 100 ML x 1 (/ML); N_Q
76366; ASSEPTCARE ; ASSEPTCARE; NOT FOUND; SPRAY 10 MG 30 ML x 1 (/ML); N_Q
76328; ASSEPTCARE ; ASSEPTCARE; NOT FOUND; SPRAY 10 MG 50 ML x 1 (/ML); N_Q
69804; ASSEPTIC ; ASSEPTIC; NOT FOUND; SOLN TOP. 10 MG 30 ML x 1 (/ML); N_Q
55709; ATENEO ; ATENEO; NOT FOUND; CPR 100 MG x 28; N_Q
53448; ATENEO ; ATENEO; NOT FOUND; CPR 50 MG x 28; N_Q
76395; ATENEUM ; ATENEUM; NOT FOUND; CPR 100 MG x 30; N_Q
76393; ATENEUM ; ATENEUM; NOT FOUND; CPR 25 MG x 30; N_Q
76394; ATENEUM ; ATENEUM; NOT FOUND; CPR 50 MG x 30; N_Q
75545; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 30; N_Q
75546; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 30; N_Q
52726; ATENORIC ; ATENORIC; NOT FOUND; CPR x 28; N_Q
74534; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 2; N_Q
74533; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; N_Q
145089; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 5; N_Q
74431; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; SUSP C/DILU. 600 MG 15 ML x 1; N_Q
74432; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; SUSP C/DILU. 900 MG 22.5 ML x 1; N_Q
