53458, CALAMYN , CALAMYN, NOT FOUND, LOC. 120 ML x 1, N_Q
84469, CALCIO D , CALCIO D, NOT FOUND, CAPS 400 MG x 60, N_Q
64248, CAPOTRINEO , CAPOTRINEO, NOT FOUND, CPR 25 MG x 30, N_Q
55716, CAPOTRINEO , CAPOTRINEO, NOT FOUND, CPR 50 MG x 30, N_Q
53328, CAPOTRINEO , CAPOTRINEO, NOT FOUND, CPR 12.5 MG x 30, N_Q
50952, CAPOTRINEO , CAPOTRINEO, NOT FOUND, CPR 25 MG x 16, N_Q
68956, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, N_Q
68955, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, N_Q
68954, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 30, N_Q
67047, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 30, N_Q
67046, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 20, N_Q
64562, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. PED. 20 MG 100 ML x 1 (/ML), N_Q
64561, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. AD 50 MG 100 ML x 1 (/ML), N_Q
76697, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, N_Q
76695, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 15, N_Q
76696, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 15, N_Q
76694, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 3.12 MG x 15, N_Q
56871, CEFABRINA , CEFABRINA, NOT FOUND, GOTAS 200 MG 10 ML x 1 (/ML), N_Q
55556, CEFABRINA , CEFABRINA, NOT FOUND, CPR 750 MG x 100, N_Q
57781, CEFABRINA , CEFABRINA, NOT FOUND, CPR 500 MG x 100, N_Q
