59624, RANITINOL , RANITINOL, NOT FOUND, CPR 150 MG x 20, N_Q
59625, RANITINOL , RANITINOL, NOT FOUND, CPR 300 MG x 20, N_Q
55442, RENALAPRIL , RENALAPRIL, NOT FOUND, CPR 10 MG x 30, N_Q
55735, RENALAPRIL , RENALAPRIL, NOT FOUND, CPR 20 MG x 30, N_Q
55734, RENALAPRIL , RENALAPRIL, NOT FOUND, CPR 5 MG x 30, N_Q
69435, RESFRYNEO , RESFRYNEO, NOT FOUND, CAPS x 100, N_Q
61993, RESFRYNEO , RESFRYNEO, NOT FOUND, CAPS x 20, N_Q
61994, RESFRYNEO , RESFRYNEO, NOT FOUND, SOLN ORAL 100 ML x 1, N_Q
59627, REVASTIN , REVASTIN, NOT FOUND, CPR 10 MG x 30, N_Q
68290, RIFAMICINA SV S.MG , RIFAMICINA SV S, RIFAMICINA SV SODICA, SPRAY 10 MG 20 ML x 1 (/ML), N_Q
58322, RIFAN , RIFAN, NOT FOUND, SPRAY 10 MG 20 ML x 1 (/ML), N_Q
70343, RINIDAL , RINIDAL, NOT FOUND, SOL NAS. INF 0.25 MG 20 ML x 1 (/ML), N_Q
70342, RINIDAL , RINIDAL, NOT FOUND, SOL NASAL AD 0.50 MG 10 ML x 1 (/ML), N_Q
70341, RINIDAL , RINIDAL, NOT FOUND, SOL NASAL AD 0.50 MG 30 ML x 1 (/ML), N_Q
75804, RISPERIDONA MG , RISPERIDONA, RISPERIDONA, CPR REVEST 1 MG x 20, N_Q
75805, RISPERIDONA MG , RISPERIDONA, RISPERIDONA, CPR REVEST 2 MG x 20, N_Q
75806, RISPERIDONA MG , RISPERIDONA, RISPERIDONA, CPR REVEST 3 MG x 20, N_Q
55493, ROXITRAN , ROXITRAN, NOT FOUND, CPR REVEST 300 MG x 5, N_Q
