128856, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, N_Q
85409, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CPR REVEST 600 MG x 27, N_Q
62387, GARBITAL , GARBITAL, NOT FOUND, CPR 100 MG x 20, N_Q
59592, GENTAMIL , GENTAMIL, NOT FOUND, AMP. 160 MG 2 ML x 1, N_Q
47456, GENTAMIL , GENTAMIL, NOT FOUND, AMP. 280 MG 2 ML x 1, N_Q
47556, GENTAMIL , GENTAMIL, NOT FOUND, AMP. 80 MG 2 ML x 1, N_Q
66567, GERIVIX , GERIVIX, NOT FOUND, DRAG x 30, N_Q
75939, GERIVIX , GERIVIX, NOT FOUND, DRAG x 50, N_Q
64078, GESTRADIOL , GESTRADIOL, NOT FOUND, CPR x 21, N_Q
63012, GESTROCON , GESTROCON, NOT FOUND, CR.VAG.C/APL 0.625 MG 25 G x 1 (/G), N_Q
54623, GINO-TERACIN B , GINO TERACIN B, NOT FOUND, CR.VAG.10APL 45 G x 1, N_Q
77810, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, N_Q
54509, GLICORP , GLICORP, NOT FOUND, CPR 250 MG x 100, N_Q
64731, GLICORP , GLICORP, NOT FOUND, CPR 250 MG x 50, N_Q
78836, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, N_Q
76411, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, N_Q
76414, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, N_Q
65587, GLIMERAN , GLIMERAN, NOT FOUND, CPR 2 MG x 30, N_Q
54864, GLIONIL , GLIONIL, NOT FOUND, CPR 5 MG x 30, N_Q
50982, GONOL , GONOL, NOT FOUND, PO P/SUSP 60 ML x 1, N_Q
45905, GONOL , GONOL, NOT FOUND, PO/SUSP DOSE x 1, N_Q
76884, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE CEREJ 13.3 MG 120 ML x 1 (/, N_Q
76885, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE MEL 16 MG 120 ML x 1 (/ML), N_Q
